deltaTime(s);Time(s);Roll(rad);Pitch(rad);Yaw(rad);RollSpeed(rad/s);PitchSpeed(rad/s);YawSpeed(rad/s) 
1.27855396;1.27855396;-0.00394653;0.01157847;-0.08762703;-0.00025445;0.00149567;-0.00010622 
0.24305868;1.52161264;-0.00389827;0.01153694;-0.08764118;0.00020045;-0.00046907;-0.00147577 
0.24228668;1.76389933;-0.00392533;0.01154987;-0.08758209;-0.00087960;-0.00015597;0.00044180 
0.24953294;2.01343226;-0.00393370;0.01157024;-0.08747476;0.00039777;0.00050541;0.00138893 
0.25006390;2.26349616;-0.00391334;0.01149724;-0.08738506;0.00058854;-0.00018584;0.00091888 
0.25489807;2.51839423;-0.00392828;0.01151694;-0.08734482;-0.00015731;-0.00033315;0.00015949 
0.25517631;2.77357054;-0.00394567;0.01150732;-0.08731929;0.00029264;-0.00018497;-0.00009259 
0.23969579;3.01326632;-0.00392386;0.01151514;-0.08721787;0.00001569;0.00046688;0.00005810 
0.25047565;3.26374197;-0.00396352;0.01150556;-0.08718739;0.00033674;-0.00069263;-0.00006834 
0.24964118;3.51338315;-0.00394435;0.01148334;-0.08718567;-0.00028802;0.00089905;-0.00006620 
0.25001431;3.76339746;-0.00389387;0.01147410;-0.08714551;0.00034524;0.00040191;-0.00030847 
0.25486207;4.01825953;-0.00386560;0.01148343;-0.08714354;0.00005605;-0.00048025;0.00008867 
0.24492097;4.26318049;-0.00384928;0.01148767;-0.08702718;0.00011083;-0.00010674;0.00038342 
0.27190781;4.53508830;-0.00375517;0.01153492;-0.08694078;-0.00079584;-0.00049732;-0.00039008 
0.22856236;4.76365066;-0.00366367;0.01154337;-0.08691839;0.00044734;-0.00008969;-0.00042527 
0.24989843;5.01354909;-0.00366268;0.01153556;-0.08686200;-0.00062490;0.00204360;0.00202197 
0.49723911;5.51078820;-0.00363424;0.01168899;-0.08658004;0.00083532;0.01557253;0.01228702 
0.20066714;5.71145535;-0.00371445;0.01149970;-0.08675566;-0.00020328;0.00153249;0.00280895 
0.57898092;6.29043627;-0.00364441;0.01147247;-0.08673558;-0.00023946;-0.00051744;0.00114366 
0.35250807;6.64294434;-0.00361836;0.01149725;-0.08674096;0.00018735;0.00082798;0.00327481 
0.34159613;6.98454046;-0.00358670;0.01151763;-0.08673438;-0.00018494;0.00060159;-0.00044512 
0.45578265;7.44032311;-0.00358388;0.01144609;-0.08670857;-0.00074068;-0.00297146;-0.00205903 
0.61885476;8.05917788;-0.00356754;0.01143204;-0.08670054;-0.00058515;-0.00060430;0.00158474 
0.53101969;8.59019756;-0.00354947;0.01154149;-0.08658665;0.00025406;0.00163737;0.00033664 
0.01019025;8.60038781;-0.00357706;0.01134471;-0.08666058;-0.00003928;-0.00456834;-0.00559686 
0.00510693;8.60549474;-0.00355569;0.01136318;-0.08651992;0.00083502;0.00194565;0.00356538 
0.00477266;8.61026740;-0.00359792;0.01129385;-0.08650508;-0.00048361;-0.00064470;-0.00029796 
0.01514125;8.62540865;-0.00363809;0.01113750;-0.08661377;-0.00070989;-0.00342407;-0.00471376 
0.03056931;8.65597796;-0.00356504;0.01115296;-0.08649720;0.00064323;0.00000247;0.00323385 
0.01536512;8.67134309;-0.00357210;0.01134771;-0.08636732;0.00107926;0.00644112;0.00402401 
0.11195993;8.78330302;-0.00360107;0.01113030;-0.08657759;-0.00175945;-0.00741007;-0.00777370 
0.24496174;9.02826476;-0.00365471;0.01119507;-0.08647421;-0.00004918;0.00279966;0.00227901 
0.24392629;9.27219105;-0.00369682;0.01123818;-0.08637561;0.00183530;0.00201567;0.00288411 
0.33720088;9.60939193;-0.00378205;0.01117098;-0.08646512;-0.00010582;-0.00240733;-0.00438617 
0.17416000;9.78355193;-0.00385871;0.01122923;-0.08630130;0.00049171;0.00232377;0.00497314 
0.22979355;10.01334548;-0.00387585;0.01129710;-0.08635766;-0.00025887;-0.00219016;-0.00249872 
0.24944735;10.26279283;-0.00395939;0.01127017;-0.08630136;-0.00111173;-0.00041633;-0.00043084 
0.26021552;10.52300835;-0.00394517;0.01137104;-0.08616839;0.00028955;0.00193496;0.00295801 
0.24022555;10.76323390;-0.00397769;0.01136385;-0.08617537;0.00035356;-0.00094451;-0.00043743 
0.25464129;11.01787519;-0.00403279;0.01137158;-0.08619964;-0.00027882;-0.00202271;-0.00385027 
0.27036500;11.28824019;-0.00406515;0.01140276;-0.08605517;-0.00056393;0.00287977;0.00311448 
0.23968625;11.52792645;-0.00406744;0.01149865;-0.08596656;-0.00016645;-0.00064677;-0.00185426 
0.23845506;11.76638150;-0.00412031;0.01145674;-0.08604319;-0.00088999;-0.00056856;-0.00047208 
0.24624777;12.01262927;-0.00413161;0.01153515;-0.08594960;0.00079651;0.00145693;0.00240957 
0.25508904;12.26771832;-0.00417606;0.01158420;-0.08598991;0.00003406;-0.00261473;-0.00399757 
0.24526310;12.51298141;-0.00417628;0.01163773;-0.08589847;0.00034078;0.00104164;0.00408323 
0.25482512;12.76780653;-0.00419020;0.01170425;-0.08587614;-0.00026802;-0.00154205;-0.00179321 
0.26005912;13.02786565;-0.00428664;0.01164834;-0.08594009;0.00071369;0.00005846;0.00047107 
0.23827577;13.26614141;-0.00431056;0.01178502;-0.08586660;-0.00027310;0.00172894;0.00035356 
0.24664307;13.51278448;-0.00438629;0.01184306;-0.08582781;-0.00071384;0.00077412;-0.00186253 
0.25540400;13.76818848;-0.00437813;0.01171924;-0.08585184;0.00005544;-0.00590099;-0.00456605 
0.24482894;14.01301742;-0.00430768;0.01177589;-0.08575346;0.00066879;0.00030285;0.00526705 
0.24982309;14.26284051;-0.00434355;0.01201899;-0.08555973;0.00050088;0.00606912;0.00733190 
0.24999285;14.51283336;-0.00437720;0.01193206;-0.08573534;-0.00060128;-0.00742433;-0.00781033 
0.25151181;14.76434517;-0.00437235;0.01200836;-0.08564983;-0.00094895;0.00239237;0.00139739 
