deltaTime(s)	Time(s)	Roll(rad)	Pitch(rad)	Yaw(rad)	RollSpeed(rad/s)	PitchSpeed(rad/s)	YawSpeed(rad/s)	Motor1(PWM)	Motor2(PWM)	Motor3(PWM)	Motor4(PWM)	
0.26234102 	0.26234102	-0.01226271	0.02517414	1.75725365	0.00078824	0.00120093	-0.00151562	900	900	900	900
0.25375938 	0.51610041	-0.01230918	0.02514534	1.75716937	0.00006563	-0.00122230	0.00220322	900	900	900	900
0.28712034 	0.80322075	-0.01227008	0.02512918	1.75700521	0.00035849	-0.00203925	0.00062916	900	900	900	900
0.20465302 	1.00787377	-0.01228355	0.02512505	1.75684750	0.00007031	-0.00099460	-0.00245895	900	900	900	900
0.25449562 	1.26236939	-0.01227897	0.02517791	1.75671232	0.00053184	0.00118859	-0.00083771	900	900	900	900
0.25312066 	1.51549006	-0.01231842	0.02518963	1.75656068	-0.00030845	0.00029932	-0.00016288	900	900	900	900
0.25944066 	1.77493072	-0.01236602	0.02515430	1.75645196	-0.00134386	0.00020237	-0.00223641	900	900	900	900
0.22768950 	2.00262022	-0.01234162	0.02509028	1.75637829	-0.00063766	-0.00159505	0.00302044	900	900	900	900
0.25511122 	2.25773144	-0.01239204	0.02514510	1.75620532	-0.00003187	-0.00014340	-0.00080858	900	900	900	900
0.24842048 	2.50615191	-0.01238334	0.02516340	1.75611746	0.00046911	-0.00012576	0.00000360	900	900	900	900
0.28268242 	2.78883433	-0.01241303	0.02515962	1.75594461	-0.00024903	-0.00143017	0.00142284	900	900	900	900
0.23841548 	3.02724981	-0.01241222	0.02515190	1.75575626	-0.00050603	-0.00361064	0.00122429	900	900	900	900
0.25059843 	3.27784824	-0.01240516	0.02514907	1.75564885	-0.00027452	-0.00052089	-0.00090879	900	900	900	900
0.25345421 	3.53130245	-0.01237258	0.02516973	1.75552726	0.00016663	0.00129548	0.00091402	900	900	900	900
0.27207637 	3.80337882	-0.01234473	0.02513846	1.75534487	0.00000195	-0.00117772	0.00082113	900	900	900	900
0.21967697 	4.02305579	-0.01234012	0.02508845	1.75521839	0.00187018	-0.00055676	-0.00129296	900	900	900	900
0.24432683 	4.26738262	-0.01236420	0.02507638	1.75508869	0.00101776	0.00072034	-0.00196967	900	900	900	900
0.24344707 	4.51082969	-0.01233071	0.02508965	1.75501335	0.00041553	0.00017967	0.00191777	900	900	900	900
0.29218340 	4.80301309	-0.01226336	0.02512232	1.75489247	0.00155354	-0.00118274	0.00130101	900	900	900	900
0.21922421 	5.02223730	-0.01233013	0.02511718	1.75484359	-0.00033835	0.00071320	0.00045040	900	900	900	900
0.23901820 	5.26125550	-0.01236004	0.02505533	1.75470066	-0.00061843	0.00114090	0.00066429	900	900	900	900
0.30623889 	5.56749439	-0.01230329	0.02498147	1.75460219	0.00049387	-0.00180756	0.00187627	900	900	900	900
0.20928192 	5.77677631	-0.01228761	0.02501801	1.75446332	0.00063061	-0.00086162	-0.00329419	900	900	900	900
0.24552488 	6.02230120	-0.01223490	0.02503538	1.75444865	-0.00036705	0.00025145	-0.00008624	900	900	900	900
0.23978615 	6.26208735	-0.01224213	0.02503932	1.75428116	0.00087355	0.00004707	0.00025334	900	900	900	900
0.24990439 	6.51199174	-0.01215955	0.02502333	1.75420427	0.00098965	-0.00060092	0.00167526	900	900	900	900
0.31571698 	6.82770872	-0.01212160	0.02499280	1.75407684	-0.00012644	0.00035469	0.00068464	900	900	900	900
0.19457769 	7.02228642	-0.01214124	0.02502898	1.75393486	-0.00047581	0.00169318	0.00144427	900	900	900	900
0.24487329 	7.26715970	-0.01217712	0.02505302	1.75373566	0.00007094	0.00186608	-0.00097595	900	900	900	900
0.25002193 	7.51718163	-0.01214394	0.02501328	1.75360739	0.00033944	-0.00133463	-0.00054045	900	900	900	900
