deltaTime(s)	Time(s)	Roll(rad)	Pitch(rad)	Yaw(rad)	RollSpeed(rad/s)	PitchSpeed(rad/s)	YawSpeed(rad/s)	Motor1(PWM)	Motor2(PWM)	Motor3(PWM)	Motor4(PWM)	
0.29115343	0.29115343	0.00455307	-0.00230876	2.44728708	-0.00098373	-0.00063936	-0.00035930	900	900	900	900
0.24996400	0.54111743	0.00449913	-0.00232943	2.44728231	0.00016121	-0.00043796	0.00091657	900	900	900	900
0.24490523	0.78602266	0.00450357	-0.00232894	2.44719625	-0.00005440	-0.00002659	0.00003569	900	900	900	900
0.25544143	1.04146409	0.00448854	-0.00233518	2.44711971	0.00028003	-0.00082134	-0.00033675	900	900	900	900
0.26056218	1.30202627	0.00454301	-0.00236781	2.44704413	0.00101016	-0.00014358	-0.00029291	900	900	900	900
0.24128485	1.54331112	0.00451492	-0.00234389	2.44692612	0.00045533	-0.00031613	0.00004821	900	900	900	900
0.24795961	1.79127073	0.00452596	-0.00235366	2.44680834	-0.00000038	-0.00052483	-0.00041620	900	900	900	900
0.24459314	2.03586388	0.00445266	-0.00231554	2.44668388	-0.00004512	-0.00027777	0.00033843	900	900	900	900
0.25528145	2.29114532	0.00440943	-0.00231939	2.44654632	-0.00007570	-0.00092904	-0.00072033	900	900	900	900
0.25522375	2.54636908	0.00444855	-0.00229899	2.44645286	-0.00043163	-0.00011802	0.00056372	900	900	900	900
0.24151063	2.78787971	0.00446711	-0.00231890	2.44635201	-0.00038114	-0.00072354	0.00075328	900	900	900	900
0.24789405	3.03577375	0.00441464	-0.00230741	2.44617987	-0.00013047	-0.00037843	0.00023704	900	900	900	900
0.25509119	3.29086494	0.00437727	-0.00229488	2.44599938	-0.00095261	-0.00071240	-0.00007015	900	900	900	900
0.25005054	3.54091549	0.00434447	-0.00230730	2.44584751	-0.00015719	-0.00027165	0.00016776	900	900	900	900
0.24991918	3.79083467	0.00436730	-0.00233542	2.44569707	-0.00038047	-0.00088505	0.00072839	900	900	900	900
