deltaTime(s);Time(s);Roll(rad);Pitch(rad);Yaw(rad);RollSpeed(rad/s);PitchSpeed(rad/s);YawSpeed(rad/s) 
0.25271511;0.25271511;-0.00494712;0.00868097;-0.03639453;0.00033682;0.00025271;-0.00105642 
0.23894739;0.49166250;-0.00493971;0.00867650;-0.03635971;0.00069169;-0.00126113;-0.00294164 
0.31022167;0.80188417;-0.00508214;0.00868870;-0.03650222;-0.00000195;-0.00304168;-0.01415120 
0.32631350;1.12819767;-0.00505746;0.00876940;-0.03624471;0.00000328;0.00062943;0.00078716 
0.37912297;1.50732064;-0.00498334;0.00875542;-0.03633712;0.00191877;0.00024922;-0.00620658 
0.05626392;1.56358457;-0.00504132;0.00869340;-0.03637034;-0.00173448;0.00303426;-0.00402645 
0.21398067;1.77756524;-0.00506177;0.00859075;-0.03628641;0.00083431;-0.00051064;0.00197342 
0.20182061;1.97938585;-0.00505534;0.00853914;-0.03630175;0.00105634;-0.00113826;-0.00089468 
0.25032544;2.22971129;-0.00504313;0.00855709;-0.03626211;0.00088122;-0.00103628;0.00331495 
0.25998235;2.48969364;-0.00500376;0.00849763;-0.03632089;0.00094180;-0.00095368;-0.00297991 
0.40135598;2.89104962;-0.00501846;0.00851634;-0.03634444;0.00140110;0.00122935;-0.00246345 
0.12206006;3.01310968;-0.00498974;0.00845404;-0.03632645;-0.00073781;-0.00013630;0.00076363 
0.23024964;3.24335933;-0.00493441;0.00837643;-0.03634393;-0.00054057;-0.00081802;-0.00867753 
0.25502634;3.49838567;-0.00487336;0.00840595;-0.03617439;0.00049304;-0.00040532;0.00179039 
0.23170662;3.73009229;-0.00499048;0.00855124;-0.03629530;-0.00019813;0.00041461;-0.00442076 
0.42994022;4.16003251;-0.00508771;0.00859658;-0.03630878;-0.00078700;0.00310213;-0.00142924 
0.12305474;4.28308725;-0.00509184;0.00845473;-0.03618561;-0.00277971;-0.00183723;0.00425806 
0.19838285;4.48147011;-0.00515106;0.00851342;-0.03610056;-0.00241841;0.00099806;0.00439385 
0.25783849;4.73930860;-0.00516228;0.00854764;-0.03609293;0.00007142;0.00060324;-0.00376058 
0.38450980;5.12381840;-0.00518137;0.00856924;-0.03605320;-0.00091518;0.00102394;0.00177857 
0.30633521;5.43015361;-0.00516167;0.00856277;-0.03604742;0.00199002;0.00173841;0.00148074 
0.05570698;5.48586059;-0.00514978;0.00861022;-0.03592815;-0.00272943;0.00282058;0.00029002 
0.26344991;5.74931049;-0.00507890;0.00850803;-0.03588210;0.00393403;-0.00257703;0.00285360 
0.22951913;5.97882962;-0.00507994;0.00854505;-0.03598027;0.00031771;-0.00091521;-0.00249673 
0.28329635;6.26212597;-0.00508082;0.00850839;-0.03579877;-0.00098076;-0.00017229;0.00936180 
0.23536301;6.49748898;-0.00511647;0.00859191;-0.03577779;0.00014407;0.00008717;0.00337802 
0.27163243;6.76912141;-0.00509468;0.00857875;-0.03583813;0.00010092;-0.00112830;-0.00229958 
0.23887396;7.00799537;-0.00505472;0.00855525;-0.03584899;-0.00081873;-0.00020970;0.00064420 
0.23356628;7.24156165;-0.00506019;0.00861776;-0.03587516;0.00011005;-0.00042797;-0.00004888 
0.29024744;7.53180909;-0.00508199;0.00859531;-0.03583581;-0.00005710;0.00014684;0.00079352 
0.28156233;7.81337142;-0.00504326;0.00862862;-0.03585272;0.00027416;-0.00064278;-0.00028350 
0.26175499;8.07512641;-0.00503342;0.00861777;-0.03579948;-0.00011813;-0.00039686;0.00002006 
0.16278005;8.23790646;-0.00501803;0.00862243;-0.03577720;-0.00050383;0.00007392;-0.00044821 
0.24656892;8.48447537;-0.00499836;0.00859928;-0.03574689;-0.00028188;-0.00007703;-0.00050756 
0.27266932;8.75714469;-0.00501314;0.00855798;-0.03570967;-0.00083921;-0.00106816;-0.00110308 
0.26750422;9.02464890;-0.00500710;0.00859877;-0.03564758;-0.00027091;0.00102670;0.00105601 
0.24236798;9.26701689;-0.00500360;0.00862363;-0.03563896;0.00022177;0.00025227;-0.00046573 
0.23535848;9.50237536;-0.00504464;0.00858431;-0.03556064;-0.00011463;-0.00072109;-0.00045538 
0.28109169;9.78346705;-0.00503925;0.00860029;-0.03553550;-0.00095722;-0.00103646;0.00209647 
0.27275968;10.05622673;-0.00503552;0.00863794;-0.03552598;0.00003834;0.00085579;-0.00090053 
0.25196052;10.30818725;-0.00503739;0.00872403;-0.03548695;0.00135233;0.00061587;-0.00021421 
0.17559242;10.48377967;-0.00505023;0.00882380;-0.03541051;-0.00042255;0.00023417;-0.00197421 
0.29858851;10.78236818;-0.00507889;0.00883818;-0.03534692;-0.00062951;0.00129407;-0.00132602 
0.24066210;11.02303028;-0.00505799;0.00881315;-0.03534395;-0.00024608;0.00137164;-0.00147297 
0.34658194;11.36961222;-0.00508967;0.00886475;-0.03525107;-0.00030095;0.00065023;0.00015547 
0.24615026;11.61576247;-0.00515665;0.00887981;-0.03525539;0.00002734;-0.00079068;-0.00228041 
0.25191593;11.86767840;-0.00528410;0.00903634;-0.03528144;-0.00223028;0.00138549;-0.00299072 
0.24282265;12.11050105;-0.00535141;0.00914858;-0.03521544;0.00126266;0.00199931;-0.00501993 
0.26970601;12.38020706;-0.00543265;0.00914677;-0.03531048;-0.00217223;0.00113225;-0.02328243 
0.27332020;12.65352726;-0.00538274;0.00917053;-0.03511954;0.00128602;-0.00038542;-0.00525451 
0.27893853;12.93246579;-0.00529111;0.00911777;-0.03506567;0.00078355;-0.00178216;-0.00506192 
0.27222490;13.20469069;-0.00521964;0.00916657;-0.03506018;0.00116161;-0.00029717;-0.00188126 
0.28505731;13.48974800;-0.00521782;0.00921243;-0.03510393;0.00178360;-0.00031532;-0.00398019 
0.25704861;13.74679661;-0.00517886;0.00926441;-0.03496028;-0.00008787;0.00287603;-0.00358557 
0.25308728;13.99988389;-0.00520929;0.00917842;-0.03478013;0.00121756;-0.00437001;0.01865845 
0.23615718;14.23604107;-0.00498425;0.00932945;-0.03391299;0.00011457;-0.00284897;0.00674328 
0.23028946;14.46633053;-0.00495104;0.00942519;-0.03385380;0.00080089;0.00062165;-0.00141075 
0.21993113;14.68626165;-0.00493274;0.00946755;-0.03388782;0.00034939;0.00012316;-0.00304064 
0.28137255;14.96763420;-0.00486095;0.00939709;-0.03382262;0.00067819;0.00185045;0.00171642 
0.23049307;15.19812727;-0.00480917;0.00932579;-0.03387400;0.00000740;0.00054533;-0.00191825 
