deltaTime(s);Time(s);Roll(rad);Pitch(rad);Yaw(rad);RollSpeed(rad/s);PitchSpeed(rad/s);YawSpeed(rad/s) 
0.16278481;0.16278481;-0.00433111;0.00143230;-1.12095106;0.00053619;-0.00323302;0.00756854 
0.25386238;0.41664720;-0.00431450;0.00141141;-1.12103748;-0.00018274;-0.00182113;-0.00243379 
0.25127387;0.66792107;-0.00431006;0.00137201;-1.12076521;-0.00005115;0.00111426;0.00106968 
0.24530840;0.91322947;-0.00436482;0.00128733;-1.12063456;-0.00167184;-0.00123829;0.00506393 
0.24957395;1.16280341;-0.00441275;0.00134715;-1.12048984;-0.00074880;0.00056873;-0.00393200 
0.24987340;1.41267681;-0.00442347;0.00122854;-1.12019384;-0.00031656;-0.00245332;0.00450922 
0.24991751;1.66259432;-0.00443529;0.00126589;-1.12010932;-0.00220076;0.00089359;-0.00117485 
0.25355840;1.91615272;-0.00438207;0.00120017;-1.11992228;0.00190315;-0.00099980;0.00134499 
0.25698256;2.17313528;-0.00441765;0.00114702;-1.11977124;0.00030626;-0.00126288;-0.00000782 
0.36131406;2.53444934;-0.00441774;0.00105345;-1.11943746;-0.00029448;-0.00323919;0.00860136 
0.31087804;2.84532738;-0.00442506;0.00113746;-1.11946988;-0.00114799;-0.00107111;-0.00119020 
0.29566646;3.14099383;-0.00445101;0.00111827;-1.11937022;0.00064669;0.00005574;0.00105097 
0.28999853;3.43099236;-0.00451140;0.00114080;-1.11922467;-0.00061135;-0.00067590;0.00123856 
0.23945522;3.67044759;-0.00450449;0.00110864;-1.11911917;0.00020377;-0.00072210;0.00149419 
0.39751840;4.06796598;-0.00446445;0.00110326;-1.11898780;0.00018131;-0.00067640;0.00119339 
0.33604002;4.40400600;-0.00446667;0.00107658;-1.11896980;-0.00063337;-0.00086870;0.00181189 
0.37620139;4.78020740;-0.00449769;0.00107936;-1.11879146;0.00011237;-0.00126289;0.00392100 
0.27060771;5.05081511;-0.00446376;0.00107267;-1.11863899;-0.00050799;-0.00051521;0.00246748 
0.34149313;5.39230824;-0.00449477;0.00108637;-1.11865795;-0.00219931;-0.00001613;-0.00163335 
0.21912384;5.61143208;-0.00450797;0.00099317;-1.11841428;0.00054653;-0.00242141;0.00242811 
0.23941541;5.85084748;-0.00452345;0.00106221;-1.11833191;-0.00024686;0.00061983;-0.00112749 
0.30022407;6.15107155;-0.00455304;0.00110172;-1.11826348;-0.00168248;0.00098727;-0.00354104 
0.33605075;6.48712230;-0.00452796;0.00104221;-1.11791325;-0.00031204;-0.00249830;0.00525710 
0.26989150;6.75701380;-0.00448055;0.00104772;-1.11786568;0.00030386;-0.00073636;0.00163552 
0.31074357;7.06775737;-0.00448207;0.00101459;-1.11771381;-0.00045963;0.00069486;0.00048274 
0.31527567;7.38303304;-0.00449970;0.00104307;-1.11758077;-0.00052566;-0.00086853;0.00058090 
0.33599949;7.71903253;-0.00454951;0.00101455;-1.11741209;0.00011959;-0.00216448;0.00119088 
0.23996592;7.95899844;-0.00450631;0.00101059;-1.11723137;-0.00063189;-0.00026654;0.00103453 
0.23136187;8.19036031;-0.00450773;0.00105947;-1.11720610;-0.00307661;-0.00377362;0.00399886 
0.22519469;8.41555500;-0.00443883;0.00100150;-1.11695719;-0.00104823;-0.00594669;0.00798604 
0.20982623;8.62538123;-0.00439190;0.00103142;-1.11689639;0.00133572;-0.00186408;0.00112212 
0.19932580;8.82470703;-0.00440819;0.00106544;-1.11675906;-0.00013757;0.00068563;0.00462133 
0.20419669;9.02890372;-0.00441378;0.00106775;-1.11672163;0.00036154;-0.00154456;-0.00193628 
0.20458055;9.23348427;-0.00437980;0.00110917;-1.11632812;0.00157014;0.00353194;0.00096841 
0.22039700;9.45388126;-0.00435524;0.00117731;-1.11635602;0.00040389;0.00046349;0.00425786 
0.19384217;9.64772344;-0.00433222;0.00123248;-1.11632752;0.00002043;0.00082055;-0.00481543 
0.05572176;9.70344520;-0.00432573;0.00118678;-1.11598182;-0.00027217;0.00006763;0.00322524 
0.04572773;9.74917293;-0.00430664;0.00117124;-1.11582518;-0.00058188;-0.00088536;0.00191834 
0.08623314;9.83540606;-0.00427319;0.00121107;-1.11568379;0.00013144;-0.00139181;0.00003486 
0.11164284;9.94704890;-0.00430880;0.00119488;-1.11550045;-0.00051681;-0.00137715;0.00138059 
0.21504331;10.16209221;-0.00430679;0.00121521;-1.11539304;0.00024499;-0.00075094;0.00198501 
0.25511670;10.41720891;-0.00433671;0.00122744;-1.11524999;-0.00062847;-0.00096089;0.00130439 
0.24473643;10.66194534;-0.00440722;0.00127255;-1.11502981;-0.00055232;-0.00030053;0.00306115 
0.25510383;10.91704917;-0.00440500;0.00127593;-1.11490035;-0.00023753;-0.00159332;0.00365240 
0.25347900;11.17052817;-0.00435867;0.00127878;-1.11477768;-0.00176786;-0.00095051;0.00045541 
0.24163032;11.41215849;-0.00432492;0.00124568;-1.11455667;0.00130559;-0.00131150;0.00135659 
0.26003027;11.67218876;-0.00433994;0.00124751;-1.11442578;-0.00147081;0.00219184;0.00224337 
0.23968291;11.91187167;-0.00432214;0.00129441;-1.11438370;-0.00079440;0.00043377;-0.00116089 
0.25155497;12.16342664;-0.00434166;0.00127650;-1.11426699;-0.00091468;-0.00019766;-0.00094785 
0.30034566;12.46377230;-0.00432726;0.00121298;-1.11405468;-0.00000007;-0.00057019;0.00226513 
0.34164190;12.80541420;-0.00433215;0.00117265;-1.11396599;0.00019591;-0.00121095;0.00224396 
0.28534102;13.09075522;-0.00432338;0.00106969;-1.11380446;0.00062912;-0.00158960;0.00425344 
0.30551720;13.39627242;-0.00429732;0.00111367;-1.11381459;0.00071389;-0.00025599;-0.00242950 
0.22451568;13.62078810;-0.00425811;0.00101053;-1.11359167;0.00039014;-0.00132953;0.00182007 
0.29565549;13.91644359;-0.00418978;0.00099665;-1.11350656;0.00105510;-0.00196577;0.00132942 
0.36713719;14.28358078;-0.00412736;0.00095681;-1.11338913;0.00073310;-0.00172896;-0.00210073 
0.37167478;14.65525556;-0.00409214;0.00091138;-1.11308634;0.00123902;-0.00139402;0.00124266 
0.35099173;15.00624728;-0.00410169;0.00093430;-1.11293197;0.00005337;0.00223896;0.00011275 
0.34137726;15.34762454;-0.00415315;0.00080234;-1.11272883;0.00097411;-0.00258834;0.00204499 
0.31061244;15.65823698;-0.00412143;0.00081475;-1.11262298;0.00060477;-0.00136867;-0.00207643 
0.16278076;15.82101774;-0.00411118;0.00075570;-1.11237001;0.00077029;-0.00035463;0.00339796 
0.29522204;16.11623979;-0.00414828;0.00073651;-1.11233616;-0.00024129;0.00007772;-0.00021447 
0.26543808;16.38167787;-0.00409356;0.00064157;-1.11220264;0.00138998;-0.00283630;0.00042149 
0.34585977;16.72753763;-0.00407084;0.00061433;-1.11197686;-0.00026118;-0.00016400;0.00104508 
0.24474430;16.97228193;-0.00407176;0.00064470;-1.11183035;-0.00016386;0.00182859;0.00073204 
0.29546714;17.26774907;-0.00401799;0.00064945;-1.11163497;0.00028702;-0.00032887;0.00202741 
0.30063939;17.56838846;-0.00401386;0.00065556;-1.11156023;0.00049399;-0.00135640;-0.00264944 
0.18343139;17.75181985;-0.00404185;0.00068566;-1.11138487;0.00078902;0.00101942;0.00265460 
0.01482868;17.76664853;-0.00405838;0.00062064;-1.11126304;0.00003428;-0.00095276;0.00617950 
0.07597566;17.84262419;-0.00397667;0.00059149;-1.11128080;-0.00026880;-0.00093928;-0.00489390 
0.22484326;18.06746745;-0.00400476;0.00060023;-1.11099076;-0.00078114;0.00093064;0.00129319 
0.32635808;18.39382553;-0.00402558;0.00068459;-1.11099076;-0.00172226;0.00078982;0.00156657 
0.32548428;18.71930981;-0.00398200;0.00066848;-1.11086845;-0.00012666;0.00002063;-0.00064871 
0.31023359;19.02954340;-0.00399442;0.00063643;-1.11070859;0.00140028;-0.00295602;0.00420038 
0.33657813;19.36612153;-0.00402542;0.00064726;-1.11050832;-0.00025237;-0.00034681;0.00420524 
