deltaTime(s)	Time(s)	Roll(rad)	Pitch(rad)	Yaw(rad)	RollSpeed(rad/s)	PitchSpeed(rad/s)	YawSpeed(rad/s)	Motor1(PWM)	Motor2(PWM)	Motor3(PWM)	Motor4(PWM)	
0.05612946	0.05612946	0.00403821	0.00064290	1.58763576	-0.00014897	-0.00185974	-0.00207730	900	900	900	900
0.22316742	0.27929688	0.00404073	0.00065350	1.58770263	-0.00033840	0.00056858	-0.00030692	900	900	900	900
0.19352126	0.47281814	0.00403968	0.00057909	1.58754981	0.00097644	-0.00063109	0.00221477	900	900	900	900
0.28484869	0.75766683	0.00400481	0.00059807	1.58728278	0.00036414	-0.00163100	-0.00178440	900	900	900	900
0.22086453	0.97853136	0.00392311	0.00062325	1.58711290	-0.00105416	0.00014641	0.00161707	900	900	900	900
0.24896574	1.22749710	0.00396202	0.00059802	1.58698153	-0.00026626	-0.00152760	0.00152173	900	900	900	900
0.26496553	1.49246264	0.00396337	0.00056444	1.58666229	0.00053587	-0.00110315	0.00058500	900	900	900	900
0.25883198	1.75129461	0.00394783	0.00062638	1.58644545	0.00018083	-0.00039836	-0.00069581	900	900	900	900
0.21177745	1.96307206	0.00394128	0.00059242	1.58621109	-0.00058700	-0.00057613	-0.00016619	900	900	900	900
0.24807048	2.21114254	0.00392092	0.00058563	1.58601642	-0.00006985	-0.00048712	0.00020766	900	900	900	900
0.24380422	2.45494676	0.00392377	0.00062601	1.58574510	0.00036865	-0.00090198	-0.00093121	900	900	900	900
0.27792215	2.73286891	0.00389334	0.00062478	1.58554626	-0.00079358	-0.00079888	-0.00035193	900	900	900	900
0.24498248	2.97785139	0.00385822	0.00066021	1.58529782	-0.00002769	-0.00097453	-0.00070149	900	900	900	900
0.25323701	3.23108840	0.00381756	0.00066101	1.58519602	-0.00003866	-0.00029771	0.00282840	900	900	900	900
0.24366045	3.47474885	0.00379350	0.00067880	1.58495426	-0.00056386	-0.00080458	-0.00130457	900	900	900	900
0.26055908	3.73530793	0.00373794	0.00066947	1.58477294	0.00026579	-0.00077999	-0.00039467	900	900	900	900
0.23474002	3.97004795	0.00373125	0.00064798	1.58463037	0.00040991	-0.00091129	0.00062300	900	900	900	900
0.25850153	4.22854948	0.00379842	0.00065280	1.58447337	0.00022208	0.00045551	0.00145672	900	900	900	900
0.22849560	4.45704508	0.00376515	0.00065150	1.58426785	-0.00074541	0.00141767	-0.00090871	900	900	900	900
0.29706407	4.75410914	0.00359726	0.00077521	1.58407199	-0.00712837	0.01235735	-0.00052819	900	900	900	900
0.27429938	5.02840853	0.00369930	0.00068371	1.58392251	0.00203133	-0.00233860	0.00004367	900	900	900	900
0.22444224	5.25285077	0.00375446	0.00058053	1.58404946	0.00022571	-0.00265105	0.00307750	900	900	900	900
0.26026869	5.51311946	0.00374890	0.00064706	1.58384597	-0.00131176	0.00218714	0.00419005	900	900	900	900
0.23969507	5.75281453	0.00371105	0.00064504	1.58361518	-0.00176721	0.00058808	-0.00323381	900	900	900	900
0.30143476	6.05424929	0.00378288	0.00071404	1.58362353	0.00202217	-0.00111891	0.00539028	900	900	900	900
0.21953607	6.27378535	0.00379160	0.00065903	1.58347714	-0.00060435	-0.00001186	0.00099688	900	900	900	900
0.23481703	6.50860238	0.00373033	0.00068595	1.58325064	-0.00062292	0.00309802	-0.00084577	900	900	900	900
0.26557708	6.77417946	0.00381912	0.00070839	1.58316863	-0.00003764	0.00048082	0.00244678	900	900	900	900
0.24381185	7.01799130	0.00384970	0.00072042	1.58303750	-0.00047683	-0.00174071	0.00038245	900	900	900	900
0.25040746	7.26839876	0.00381025	0.00071518	1.58282506	0.00061180	0.00105943	-0.00323264	900	900	900	900
