deltaTime(s);Time(s);Roll(rad);Pitch(rad);Yaw(rad);RollSpeed(rad/s);PitchSpeed(rad/s);YawSpeed(rad/s) 
0.21538424;0.21538424;0.00772327;0.01242612;2.67486620;-0.00004216;0.00101382;-0.00061634 
0.33130383;0.54668808;0.00770423;0.01244571;2.67495394;0.00043433;-0.00175357;-0.00025394 
0.29038429;0.83707237;0.00767190;0.01243849;2.67490530;-0.00071858;-0.00101054;-0.00118817 
0.27550054;1.11257291;0.00771858;0.01235070;2.67488027;0.00014223;-0.00080634;0.00102548 
0.28049684;1.39306974;0.00774368;0.01242344;2.67490101;0.00029174;-0.00038034;0.00202777 
0.28111339;1.67418313;0.00769850;0.01248445;2.67486310;-0.00111528;-0.00077080;0.00124129 
0.33646011;2.01064324;0.00770312;0.01243643;2.67482090;0.00204513;0.00135668;-0.00037231 
0.34195590;2.35259914;0.00771925;0.01247669;2.67477798;0.00013329;0.00077431;-0.00240568 
0.30539703;2.65799618;0.00765061;0.01247159;2.67475367;0.00068389;-0.00023048;-0.00028457 
0.32147956;2.97947574;0.00769470;0.01252559;2.67472458;-0.00040355;-0.00005552;-0.00071882 
0.34632134;3.32579708;0.00767323;0.01249131;2.67471600;-0.00042298;-0.00203895;0.00122328 
0.33572173;3.66151881;0.00765328;0.01245184;2.67471313;-0.00143212;-0.00132334;0.00584546 
0.30574489;3.96726370;0.00766892;0.01238500;2.67471194;-0.00042466;-0.00039407;0.00390172 
0.38720846;4.35447216;0.00768545;0.01236335;2.67474127;0.00036170;0.00025697;0.00165263 
0.37712860;4.73160076;0.00768746;0.01236683;2.67474174;-0.00021823;-0.00018099;0.00199320 
0.36709094;5.09869170;0.00767875;0.01231265;2.67467356;-0.00073222;-0.00010758;0.00117802 
0.32581139;5.42450309;0.00766163;0.01227842;2.67463326;-0.00020085;-0.00004132;0.00017071 
0.37689257;5.80139565;0.00766426;0.01224897;2.67459655;0.00026349;0.00000901;0.00034770 
0.32097197;6.12236762;0.00768756;0.01224084;2.67460823;-0.00006977;-0.00129079;0.00036597 
0.34610128;6.46846890;0.00762455;0.01225273;2.67461348;-0.00095431;0.00018175;0.00045901 
0.27541542;6.74388433;0.00762805;0.01223012;2.67457938;-0.00035343;0.00009145;-0.00067395 
0.40778184;7.15166616;0.00765018;0.01222006;2.67456102;-0.00030280;0.00023853;-0.00055343 
0.11324644;7.26491261;0.00767236;0.01224669;2.67451262;-0.00001958;0.00030274;-0.00073418 
0.00508094;7.26999354;0.00764408;0.01226465;2.67445183;-0.00024888;-0.00053419;-0.00071288 
0.00458026;7.27457380;0.00768618;0.01219828;2.67451906;-0.00178638;-0.00172187;0.00200982 
0.00500131;7.27957511;0.00773724;0.01224494;2.67451310;0.00215013;0.00148986;0.00241264 
0.00432324;7.28389835;0.00774823;0.01227485;2.67450809;0.00099221;0.00118023;0.00012357 
0.00416303;7.28806138;0.00770273;0.01233071;2.67447567;-0.00019597;0.00002369;0.00077067 
0.00417924;7.29224062;0.00767669;0.01233016;2.67446613;0.00047539;-0.00004081;-0.00003131 
