deltaTime(s)	Time(s)	Roll(rad)	Pitch(rad)	Yaw(rad)	RollSpeed(rad/s)	PitchSpeed(rad/s)	YawSpeed(rad/s)	Motor1(PWM)	Motor2(PWM)	Motor3(PWM)	Motor4(PWM)	
0.21852279 	0.21852279	-0.00925408	0.00902889	1.04862940	0.00020596	0.00008998	-0.00030456	900	900	900	900
0.17325497 	0.39177775	-0.00930375	0.00907367	1.04867530	-0.00011245	0.00045943	0.00091913	900	900	900	900
0.10471129 	0.49648905	-0.00932556	0.00911789	1.04859543	0.00034074	0.00055895	0.00052274	900	900	900	900
0.25026870 	0.74675775	-0.00934081	0.00911395	1.04855704	0.00017541	-0.00062719	0.00047701	900	900	900	900
0.24991536 	0.99667311	-0.00932280	0.00917707	1.04837358	0.00008299	-0.00032436	-0.00051081	900	900	900	900
0.25513554 	1.25180864	-0.00933510	0.00914340	1.04830003	-0.00035784	-0.00100612	-0.00012385	900	900	900	900
0.24352503 	1.49533367	-0.00931300	0.00920660	1.04819286	0.00132831	0.00156377	0.00193906	900	900	900	900
0.26998329 	1.76531696	-0.00931771	0.00921933	1.04812348	0.00131365	0.00136529	-0.00095732	900	900	900	900
0.22893596 	1.99425292	-0.00930850	0.00925472	1.04803157	-0.00053912	-0.00119873	-0.00017044	900	900	900	900
0.26246309 	2.25671601	-0.00931672	0.00933082	1.04799223	0.00011784	0.00015249	0.00024148	900	900	900	900
0.24854970 	2.50526571	-0.00935696	0.00932429	1.04794443	-0.00036095	-0.00058769	0.00227140	900	900	900	900
0.25127935 	2.75654507	-0.00943196	0.00924781	1.04793274	0.00158363	0.00097902	0.00149053	900	900	900	900
0.24440432 	3.00094938	-0.00924914	0.00936848	1.04788530	0.00002537	0.00006573	0.00142737	900	900	900	900
0.25737095 	3.25832033	-0.00919165	0.00949143	1.04786992	0.00063419	0.00155330	0.00148066	900	900	900	900
0.24280357 	3.50112391	-0.00919292	0.00942452	1.04776275	0.00022364	-0.00026360	0.00288155	900	900	900	900
0.24792194 	3.74904585	-0.00916836	0.00943455	1.04769695	-0.00092584	-0.00155277	-0.00198367	900	900	900	900
0.26218963 	4.01123548	-0.00915256	0.00949687	1.04766655	0.00007411	0.00031216	0.00130468	900	900	900	900
0.24885464 	4.26009011	-0.00918108	0.00940685	1.04751575	-0.00007367	0.00294726	-0.00168467	900	900	900	900
0.25876307 	4.51885319	-0.00929428	0.00941583	1.04754877	-0.00029534	0.00001225	-0.00039049	900	900	900	900
0.24507427 	4.76392746	-0.00927427	0.00945979	1.04748654	0.00011802	0.00039229	0.00091425	900	900	900	900
0.27090812 	5.03483558	-0.00923114	0.00941033	1.04742777	0.00093681	0.00143108	0.00297376	900	900	900	900
0.23130608 	5.26614165	-0.00920642	0.00936067	1.04731417	-0.00079952	-0.00428825	-0.00130188	900	900	900	900
0.23284364 	5.49898529	-0.00927243	0.00938645	1.04717612	-0.00049799	-0.00125046	-0.00107537	900	900	900	900
0.24942136 	5.74840665	-0.00928936	0.00940257	1.04706919	-0.00078140	0.00063644	-0.00023961	900	900	900	900
0.25575638 	6.00416303	-0.00934244	0.00935389	1.04699504	-0.00062206	-0.00090181	-0.00007609	900	900	900	900
0.24625063 	6.25041366	-0.00934167	0.00933414	1.04691350	-0.00010506	-0.00060464	0.00084236	900	900	900	900
0.25098109 	6.50139475	-0.00934450	0.00930488	1.04674518	-0.00170045	-0.00099629	-0.00100620	900	900	900	900
0.26613617 	6.76753092	-0.00934878	0.00936571	1.04668045	-0.00022214	-0.00051602	-0.00023373	900	900	900	900
0.25286961 	7.02040052	-0.00928631	0.00930798	1.04656935	0.00072786	0.00008343	0.00252429	900	900	900	900
0.25527334 	7.27567387	-0.00926655	0.00928914	1.04642487	0.00065483	-0.00006831	-0.00040874	900	900	900	900
0.22975731 	7.50543118	-0.00924767	0.00931028	1.04644370	0.00025764	-0.00119709	0.00063491	900	900	900	900
0.27340937 	7.77884054	-0.00919941	0.00928897	1.04630876	0.00157166	0.00085966	0.00187682	900	900	900	900
0.22678685 	8.00562739	-0.00922526	0.00919631	1.04624808	-0.00033370	-0.00182367	-0.00047396	900	900	900	900
0.24911833 	8.25474572	-0.00923386	0.00922110	1.04615557	-0.00094523	-0.00115826	0.00015126	900	900	900	900
0.29419327 	8.54893899	-0.00925049	0.00921660	1.04607737	-0.00075237	0.00046152	-0.00001414	900	900	900	900
0.20212960 	8.75106859	-0.00929490	0.00920114	1.04596782	-0.00040050	-0.00022740	0.00081880	900	900	900	900
0.25462365 	9.00569224	-0.00929860	0.00919620	1.04590058	0.00023203	0.00037920	0.00056270	900	900	900	900
0.26779962 	9.27349186	-0.00936412	0.00922241	1.04577041	-0.00106436	-0.00000735	0.00056742	900	900	900	900
0.23135662 	9.50484848	-0.00928155	0.00916061	1.04567266	0.00257435	-0.00105830	-0.00046815	900	900	900	900
0.24892259 	9.75377107	-0.00928043	0.00914034	1.04548848	0.00117615	-0.00181447	0.00021906	900	900	900	900
0.27649069 	10.03026175	-0.00927035	0.00917641	1.04540849	-0.00025683	0.00140758	0.00094831	900	900	900	900
0.23128152 	10.26154327	-0.00930601	0.00913772	1.04529893	-0.00005609	0.00101956	0.00053122	900	900	900	900
0.23812103 	10.49966431	-0.00930198	0.00916130	1.04519093	-0.00015799	-0.00074404	-0.00054528	900	900	900	900
0.26495481 	10.76461911	-0.00922541	0.00920260	1.04511905	0.00050185	-0.00076928	-0.00020521	900	900	900	900
0.23166537 	10.99628448	-0.00925483	0.00921728	1.04499054	-0.00044218	0.00060474	0.00067106	900	900	900	900
0.25470662 	11.25099111	-0.00924423	0.00920144	1.04488432	0.00002683	-0.00024793	0.00006024	900	900	900	900
0.29591632 	11.54690742	-0.00918514	0.00920509	1.04473770	0.00009154	-0.00120107	-0.00123181	900	900	900	900
0.21309209 	11.75999951	-0.00921485	0.00925385	1.04462218	0.00019021	-0.00032925	0.00110440	900	900	900	900
0.26058483 	12.02058434	-0.00919765	0.00929329	1.04447305	0.00027120	-0.00004970	0.00005094	900	900	900	900
0.23904729 	12.25963163	-0.00922186	0.00934498	1.04437196	-0.00005268	-0.00118258	-0.00005427	900	900	900	900
0.24360991 	12.50324154	-0.00922740	0.00941518	1.04425263	-0.00044488	-0.00055072	-0.00034363	900	900	900	900
0.24921584 	12.75245738	-0.00928589	0.00942534	1.04412413	-0.00011344	0.00052431	0.00008495	900	900	900	900
0.28564644 	13.03810382	-0.00925483	0.00944982	1.04402471	-0.00006286	-0.00041930	0.00000623	900	900	900	900
0.22747326 	13.26557708	-0.00924607	0.00949234	1.04398513	-0.00008576	-0.00109169	-0.00028188	900	900	900	900
0.23958182 	13.50515890	-0.00923358	0.00953997	1.04388154	0.00046714	-0.00020757	0.00055865	900	900	900	900
0.24245954 	13.74761844	-0.00922934	0.00958854	1.04383516	-0.00016560	-0.00023064	0.00042006	900	900	900	900
0.25743461 	14.00505304	-0.00927013	0.00960355	1.04369676	0.00026820	-0.00033965	-0.00081050	900	900	900	900
0.24796152 	14.25301456	-0.00928134	0.00962796	1.04364812	0.00075791	-0.00019585	0.00036994	900	900	900	900
0.24245667 	14.49547124	-0.00931502	0.00959362	1.04353988	-0.00032053	-0.00108230	0.00035804	900	900	900	900
0.26380491 	14.75927615	-0.00933259	0.00959070	1.04345715	-0.00018250	-0.00126575	-0.00001777	900	900	900	900
0.24157500 	15.00085115	-0.00926977	0.00965158	1.04331446	-0.00011872	-0.00007822	-0.00001783	900	900	900	900
0.24674177 	15.24759293	-0.00927894	0.00968525	1.04325306	-0.00059423	-0.00007622	-0.00060709	900	900	900	900
0.25801420 	15.50560713	-0.00932744	0.00972087	1.04316604	-0.00003154	0.00028396	0.00020504	900	900	900	900
0.25490022 	15.76050735	-0.00935389	0.00972113	1.04306972	-0.00018064	0.00021237	-0.00048372	900	900	900	900
0.23977852 	16.00028586	-0.00931230	0.00968266	1.04295123	0.00131553	-0.00065440	0.00042236	900	900	900	900
0.24543548 	16.24572134	-0.00937249	0.00964740	1.04291642	-0.00108481	-0.00032286	-0.00079618	900	900	900	900
0.25903916 	16.50476050	-0.00938402	0.00968410	1.04280770	-0.00046988	0.00004589	0.00020294	900	900	900	900
0.25508976 	16.75985026	-0.00936030	0.00964911	1.04270375	0.00049442	0.00000478	-0.00065779	900	900	900	900
0.24076939 	17.00061965	-0.00929798	0.00960620	1.04259968	0.00095070	-0.00140913	0.00076688	900	900	900	900
0.25703287 	17.25765252	-0.00925781	0.00961456	1.04252243	0.00075393	0.00034680	-0.00031491	900	900	900	900
0.24765205 	17.50530457	-0.00929673	0.00959656	1.04244959	0.00018086	-0.00080614	0.00155574	900	900	900	900
0.25461388 	17.75991845	-0.00927786	0.00961014	1.04231298	-0.00035310	0.00135313	-0.00074370	900	900	900	900
0.25747371 	18.01739216	-0.00925692	0.00963383	1.04225814	0.00003527	0.00004193	0.00078136	900	900	900	900
0.23791695 	18.25530910	-0.00921825	0.00960238	1.04213858	0.00008603	0.00073870	0.00076747	900	900	900	900
0.24510598 	18.50041509	-0.00920591	0.00954699	1.04203188	0.00068656	-0.00161335	0.00043441	900	900	900	900
0.25417662 	18.75459170	-0.00920041	0.00957616	1.04188430	-0.00018574	0.00017426	0.00014192	900	900	900	900
0.24517679 	18.99976850	-0.00910498	0.00954702	1.04183626	0.00062916	-0.00059460	0.00118287	900	900	900	900
0.26079702 	19.26056552	-0.00915056	0.00956097	1.04171371	0.00029055	0.00003356	0.00022822	900	900	900	900
0.24447060 	19.50503612	-0.00914942	0.00954299	1.04167283	-0.00132187	-0.00015637	-0.00021577	900	900	900	900
0.25588560 	19.76092172	-0.00910593	0.00945604	1.04159594	-0.00044455	-0.00062595	-0.00034896	900	900	900	900
0.24397445 	20.00489616	-0.00909032	0.00946158	1.04149342	-0.00040474	-0.00172357	-0.00107969	900	900	900	900
0.26973271 	20.27462888	-0.00910951	0.00947286	1.04143584	-0.00001890	0.00042640	0.00032148	900	900	900	900
0.22320843 	20.49783731	-0.00907124	0.00953484	1.04143131	0.00607892	0.00438567	0.00385937	900	900	900	900
0.27174640 	20.76958370	-0.00912486	0.00911682	1.04124105	0.00197801	0.00928747	-0.00267046	900	900	900	900
0.23073864 	21.00032234	-0.00902668	0.00919568	1.04117239	0.00354219	0.00122034	0.00110952	900	900	900	900
