deltaTime(s)	Time(s)	Roll(rad)	Pitch(rad)	Yaw(rad)	RollSpeed(rad/s)	PitchSpeed(rad/s)	YawSpeed(rad/s)	Motor1(PWM)	Motor2(PWM)	Motor3(PWM)	Motor4(PWM)	
0.16779709 	0.16779709	0.00387660	-0.00528802	2.44796848	-0.00131730	-0.00061171	0.00330588	900	900	900	900
0.38703680 	0.55483389	0.00391245	-0.00525494	2.44782639	0.00090825	-0.00026893	0.00068184	900	900	900	900
0.20978117 	0.76461506	0.00395455	-0.00518581	2.44746733	-0.00025903	-0.00061584	0.00043335	900	900	900	900
0.22013855 	0.98475361	0.00390425	-0.00520146	2.44726300	0.00009424	-0.00108526	0.00076888	900	900	900	900
0.21564126 	1.20039487	0.00391013	-0.00511494	2.44717503	-0.00107260	-0.00020434	0.00517096	900	900	900	900
0.21466947 	1.41506433	0.00385195	-0.00501709	2.44694281	-0.00059218	0.00197064	-0.00621174	900	900	900	900
0.15846777 	1.57353210	0.00384801	-0.00507782	2.44682240	0.00025284	-0.00105669	0.00592956	900	900	900	900
0.18368721 	1.75721931	0.00384530	-0.00502747	2.44679832	-0.00041183	0.00037166	-0.00027999	900	900	900	900
0.22838902 	1.98560834	0.00378634	-0.00505869	2.44673204	-0.00117651	-0.00084823	0.00720105	900	900	900	900
0.26501560 	2.25062394	0.00378585	-0.00510920	2.44673777	0.00005335	0.00082084	0.00257287	900	900	900	900
0.23901320 	2.48963714	0.00375277	-0.00504178	2.44654942	0.00041028	0.00124031	-0.00235141	900	900	900	900
0.22979999 	2.71943712	0.00375499	-0.00508499	2.44653368	0.00058992	-0.00223677	0.00181563	900	900	900	900
0.26548553 	2.98492265	0.00377893	-0.00506258	2.44660258	-0.00092184	0.00126450	0.00343563	900	900	900	900
0.23206091 	3.21698356	0.00380177	-0.00503877	2.44630194	0.00013412	-0.00000607	-0.00093941	900	900	900	900
0.25737405 	3.47435760	0.00380347	-0.00505194	2.44623446	-0.00011164	-0.00100976	0.00129518	900	900	900	900
0.24366117 	3.71801877	0.00385438	-0.00507565	2.44623280	0.00004560	-0.00158184	0.00174089	900	900	900	900
0.25442314 	3.97244191	0.00392276	-0.00504012	2.44616985	0.00034959	-0.00017295	-0.00197393	900	900	900	900
0.24182796 	4.21426988	0.00390525	-0.00507255	2.44612670	0.00014105	-0.00010998	0.00367225	900	900	900	900
0.27092457 	4.48519444	0.00387632	-0.00510749	2.44603944	-0.00059065	0.00004684	-0.00048762	900	900	900	900
0.23947906 	4.72467351	0.00390549	-0.00514811	2.44601774	-0.00038200	-0.00110763	0.00110213	900	900	900	900
0.24313140 	4.96780491	0.00394683	-0.00518911	2.44603753	-0.00035510	-0.00102797	-0.00003684	900	900	900	900
0.24666953 	5.21447444	0.00400078	-0.00514325	2.44603753	-0.00021743	0.00171981	-0.00173666	900	900	900	900
0.26289129 	5.47736573	0.00396127	-0.00519128	2.44606805	-0.00059328	0.00065495	0.00549399	900	900	900	900
0.23006535 	5.70743108	0.00396620	-0.00525368	2.44605851	0.00040123	-0.00190505	0.00185396	900	900	900	900
0.26899552 	5.97642660	0.00395250	-0.00530796	2.44620419	0.00080580	-0.00086354	-0.00138658	900	900	900	900
0.23801327 	6.21443987	0.00392191	-0.00531202	2.44612360	0.00084606	0.00045307	0.00113959	900	900	900	900
0.26011086 	6.47455072	0.00390584	-0.00537913	2.44608927	-0.00065540	-0.00040473	0.00702484	900	900	900	900
0.25293660 	6.72748733	0.00388937	-0.00538656	2.44608712	-0.00073570	-0.00177670	0.00037081	900	900	900	900
0.25382280 	6.98131013	0.00390542	-0.00542736	2.44603872	-0.00047876	-0.00029191	-0.00183990	900	900	900	900
0.22907519 	7.21038532	0.00395729	-0.00551270	2.44611955	-0.00081427	-0.00016815	0.00711138	900	900	900	900
0.29198837 	7.50237370	0.00396916	-0.00555581	2.44599676	-0.00089434	0.00214245	0.00346800	900	900	900	900
0.21200204 	7.71437573	0.00401265	-0.00558312	2.44602609	-0.00046318	0.00098982	0.00230891	900	900	900	900
0.26970792 	7.98408365	0.00402213	-0.00566584	2.44606805	-0.00026053	-0.00138719	0.00380721	900	900	900	900
0.24281240 	8.22689605	0.00406376	-0.00572380	2.44599843	-0.00119298	-0.00068192	0.00130301	900	900	900	900
0.30047131 	8.52736735	0.00406038	-0.00578246	2.44597793	-0.00126420	-0.00052868	0.00225857	900	900	900	900
0.20173001 	8.72909737	0.00407861	-0.00581794	2.44594216	-0.00009074	-0.00036835	0.00057074	900	900	900	900
0.24014616 	8.96924353	0.00407868	-0.00583833	2.44596720	0.00018234	-0.00021910	0.00074449	900	900	900	900
0.24974751 	9.21899104	0.00410320	-0.00586660	2.44601011	-0.00064327	-0.00118840	0.00053057	900	900	900	900
0.29155087 	9.51054192	0.00411586	-0.00590886	2.44597673	-0.00049109	-0.00096394	0.00173607	900	900	900	900
0.20912361 	9.71966553	0.00414449	-0.00594507	2.44606423	-0.00078797	-0.00110437	0.00191145	900	900	900	900
0.25826836 	9.97793388	0.00416131	-0.00591719	2.44607067	-0.00011541	-0.00024689	0.00044041	900	900	900	900
0.26343703 	10.24137092	0.00417537	-0.00589857	2.44607496	0.00053100	-0.00042963	0.00093882	900	900	900	900
0.25318432 	10.49455523	0.00423007	-0.00593743	2.44608808	0.00083855	-0.00191010	0.00150398	900	900	900	900
0.24297857 	10.73753381	0.00422881	-0.00595437	2.44615436	-0.00033096	-0.00076517	0.00111435	900	900	900	900
0.23756003 	10.97509384	0.00422971	-0.00596254	2.44613814	-0.00005301	-0.00133043	0.00074866	900	900	900	900
0.27712011 	11.25221395	0.00425589	-0.00595950	2.44609332	-0.00027874	-0.00132454	-0.00140615	900	900	900	900
0.22454739 	11.47676134	0.00423765	-0.00593272	2.44618821	-0.00128117	0.00009635	-0.00029273	900	900	900	900
0.27133155 	11.74809289	0.00425950	-0.00590404	2.44627380	-0.00011956	-0.00042103	0.00141318	900	900	900	900
0.21895075 	11.96704364	0.00422291	-0.00588402	2.44631910	-0.00072646	-0.00044373	0.00301559	900	900	900	900
0.26199031 	12.22903395	0.00423091	-0.00586980	2.44637871	-0.00012820	-0.00090846	0.00052813	900	900	900	900
0.23329020 	12.46232414	0.00421380	-0.00587698	2.44642687	-0.00133194	-0.00073153	0.00192441	900	900	900	900
0.25209498 	12.71441913	0.00418467	-0.00589388	2.44642782	0.00074053	-0.00129637	0.00212787	900	900	900	900
0.30759549 	13.02201462	0.00409185	-0.00588936	2.44641304	-0.00046417	-0.00234748	0.00004703	900	900	900	900
0.27034354 	13.29235816	0.00407837	-0.00586609	2.44653940	-0.00045444	0.00099896	0.00230046	900	900	900	900
0.22000670 	13.51236486	0.00408343	-0.00589116	2.44635892	0.00094474	-0.00153167	0.00182554	900	900	900	900
0.26537943 	13.77774429	0.00406334	-0.00588006	2.44634867	0.00038186	-0.00219009	-0.00197202	900	900	900	900
0.25222874 	14.02997303	0.00404515	-0.00586208	2.44640875	-0.00044990	-0.00173992	0.00086511	900	900	900	900
0.25514150 	14.28511453	0.00394476	-0.00582609	2.44644928	-0.00099870	-0.00007791	0.00120878	900	900	900	900
0.22963572 	14.51475024	0.00394466	-0.00583499	2.44645667	-0.00038297	-0.00000001	0.00283653	900	900	900	900
0.27086067 	14.78561091	0.00399387	-0.00579283	2.44642282	0.00038885	0.00007927	-0.00035036	900	900	900	900
0.21988606 	15.00549698	0.00393434	-0.00584076	2.44655704	-0.00058343	-0.00080977	0.00451837	900	900	900	900
0.27473879 	15.28023577	0.00390723	-0.00590796	2.44655943	0.00025981	-0.00118443	0.00210107	900	900	900	900
0.22977662 	15.51001239	0.00389950	-0.00589519	2.44654179	-0.00057400	-0.00071467	0.00012276	900	900	900	900
0.28066611 	15.79067850	0.00387688	-0.00588308	2.44660330	-0.00059140	-0.00101533	-0.00010026	900	900	900	900
0.18876076 	15.97943926	0.00385719	-0.00588486	2.44669580	0.00022587	-0.00109214	0.00066421	900	900	900	900
0.24692130 	16.22636056	0.00387996	-0.00590435	2.44669175	-0.00008471	-0.00036140	0.00184432	900	900	900	900
0.25589275 	16.48225331	0.00384221	-0.00594004	2.44659281	0.00002011	-0.00025723	0.00210350	900	900	900	900
0.23673320 	16.71898651	0.00381799	-0.00594988	2.44657159	-0.00066598	-0.00164825	0.00093291	900	900	900	900
0.25805163 	16.97703815	0.00380610	-0.00592276	2.44649076	-0.00050963	-0.00191926	-0.00038266	900	900	900	900
0.23119497 	17.20823312	0.00381531	-0.00590392	2.44648361	0.00026089	-0.00154423	0.00000799	900	900	900	900
0.25598097 	17.46421409	0.00378434	-0.00587538	2.44653654	-0.00004574	-0.00081830	0.00085556	900	900	900	900
0.24942851 	17.71364260	0.00382258	-0.00582430	2.44647169	0.00031247	-0.00007847	-0.00192201	900	900	900	900
0.25961018 	17.97325277	0.00377848	-0.00578483	2.44637394	-0.00044473	-0.00056591	0.00000143	900	900	900	900
0.25508499 	18.22833776	0.00377254	-0.00581016	2.44643188	-0.00045791	-0.00110384	0.00149360	900	900	900	900
0.22986150 	18.45819926	0.00378031	-0.00575723	2.44644880	-0.00040863	-0.00044010	0.00445416	900	900	900	900
0.27058268 	18.72878194	0.00376851	-0.00579695	2.44651794	0.00021149	-0.00033016	0.00769391	900	900	900	900
0.24524546 	18.97402740	0.00382021	-0.00578848	2.44634128	0.00033900	-0.00029037	-0.00078370	900	900	900	900
0.35816073 	19.33218813	0.00380365	-0.00575736	2.44635725	-0.00136393	0.00061435	-0.00035342	900	900	900	900
0.17188954 	19.50407767	0.00380737	-0.00575066	2.44625688	-0.00270769	-0.00054657	0.00150846	900	900	900	900
0.24431014 	19.74838781	0.00383005	-0.00579723	2.44622993	-0.00042876	-0.00191526	0.00096667	900	900	900	900
0.22998834 	19.97837615	0.00379475	-0.00577475	2.44626784	-0.00068896	0.00029952	-0.00300795	900	900	900	900
