deltaTime(s);Time(s);Roll(rad);Pitch(rad);Yaw(rad);RollSpeed(rad/s);PitchSpeed(rad/s);YawSpeed(rad/s) 
0.16433764;0.16433764;0.13151483;0.01553881;1.08361781;0.00028794;-0.00054425;0.00102063 
0.24850392;0.41284156;0.13149633;0.01554354;1.08362424;0.00074345;-0.00087330;0.00120336 
0.25018525;0.66302681;0.13152656;0.01557282;1.08359075;0.00039838;-0.00130609;0.00024000 
0.24980068;0.91282749;0.13147858;0.01559467;1.08354914;-0.00056099;-0.00142437;0.00091226 
0.26076460;1.17359209;0.13144699;0.01554445;1.08350694;-0.00021699;-0.00049117;0.00068936 
0.23922777;1.41281986;0.13145240;0.01551075;1.08348799;-0.00006774;-0.00117178;0.00106569 
0.25523806;1.66805792;0.13140048;0.01552552;1.08347225;-0.00031905;-0.00018964;0.00101381 
0.24300361;1.91106153;0.13143867;0.01553888;1.08343077;-0.00062424;-0.00102682;0.00120764 
0.25732732;2.16838884;0.13144428;0.01549271;1.08336568;-0.00041331;-0.00101852;0.00108221 
0.24462748;2.41301632;0.13143142;0.01553055;1.08334744;-0.00036135;-0.00048951;0.00149041 
0.25197721;2.66499352;0.13149606;0.01551586;1.08334827;-0.00069589;-0.00045265;0.00069712 
0.25373149;2.91872501;0.13151908;0.01549568;1.08334124;0.00040822;-0.00069342;0.00072016 
0.24402046;3.16274548;0.13152172;0.01551450;1.08333611;-0.00018923;-0.00085755;0.00010141 
0.24966598;3.41241145;0.13156731;0.01557558;1.08330786;-0.00047611;-0.00059324;0.00090461 
0.25333786;3.66574931;0.13156088;0.01561429;1.08332121;-0.00022669;-0.00079634;0.00130284 
0.24654603;3.91229534;0.13158749;0.01564924;1.08326983;-0.00040863;-0.00025242;0.00098928 
0.25521183;4.16750717;0.13151464;0.01567103;1.08326089;-0.00050369;-0.00066835;0.00097679 
0.24493265;4.41243982;0.13149677;0.01570909;1.08316898;0.00003479;-0.00001605;0.00100576 
0.24989486;4.66233468;0.13147557;0.01570815;1.08317447;0.00000462;-0.00058778;0.00127373 
0.25015044;4.91248512;0.13149825;0.01573655;1.08316362;-0.00021190;-0.00059629;0.00105819 
0.25490761;5.16739273;0.13152944;0.01573025;1.08313727;-0.00012278;-0.00098481;0.00073200 
0.27567744;5.44307017;0.13153176;0.01574059;1.08309269;-0.00042102;0.00009272;0.00069337 
0.22933197;5.67240214;0.13147193;0.01575449;1.08304799;-0.00002592;-0.00062981;0.00059433 
0.24489856;5.91730070;0.13155141;0.01573266;1.08303010;0.00080378;-0.00064113;0.00049322 
0.24493694;6.16223764;0.13157769;0.01572002;1.08300674;0.00029501;-0.00062656;0.00101149 
0.25005817;6.41229582;0.13158892;0.01572622;1.08299613;-0.00029539;-0.00029417;0.00116022 
0.25217271;6.66446853;0.13149568;0.01567916;1.08298588;-0.00042644;-0.00084544;0.00042992 
0.24803925;6.91250777;0.13150275;0.01568936;1.08296251;-0.00022888;-0.00031916;0.00039304 
0.25215721;7.16466498;0.13148978;0.01569946;1.08296812;-0.00091342;-0.00081256;0.00079389 
0.24778509;7.41245008;0.13154253;0.01565903;1.08293724;-0.00022825;-0.00115242;0.00130083 
0.25351453;7.66596460;0.13154325;0.01574044;1.08292210;0.00049789;-0.00078893;0.00079787 
0.24684978;7.91281438;0.13151209;0.01575773;1.08289874;-0.00081556;-0.00023421;0.00104939 
0.24938345;8.16219783;0.13152163;0.01577591;1.08285820;0.00058552;-0.00088860;0.00062035 
0.25233173;8.41452956;0.13148797;0.01577181;1.08283710;-0.00018846;-0.00073049;0.00097163 
0.24742079;8.66195035;0.13153474;0.01582818;1.08278692;0.00007020;-0.00086011;0.00039929 
0.25010347;8.91205382;0.13155602;0.01585038;1.08275890;0.00009583;-0.00069418;-0.00012635 
0.25509715;9.16715097;0.13152458;0.01583716;1.08276939;0.00042113;-0.00072339;0.00099247 
0.24553394;9.41268492;0.13153429;0.01579630;1.08272696;-0.00074353;-0.00069761;0.00050426 
0.25401425;9.66669917;0.13153699;0.01583364;1.08274519;0.00004232;-0.00071287;0.00112573 
0.25558138;9.92228055;0.13151447;0.01587244;1.08274591;-0.00044372;-0.00035050;0.00107150 
0.23975658;10.16203713;0.13149798;0.01592607;1.08274686;0.00075994;-0.00029937;0.00043280 
0.24989915;10.41193628;0.13146523;0.01595138;1.08273470;-0.00065916;-0.00078719;0.00086191 
0.25500965;10.66694593;0.13146542;0.01592888;1.08274603;-0.00028941;-0.00023844;0.00026398 
0.24961805;10.91656399;0.13148855;0.01598113;1.08279443;-0.00026598;-0.00033634;0.00053601 
0.24576831;11.16233230;0.13153593;0.01602384;1.08282626;0.00016675;-0.00038375;0.00022032 
0.25357509;11.41590738;0.13155575;0.01604856;1.08287454;0.00025528;-0.00115721;0.00032003 
0.24792933;11.66383672;0.13155067;0.01604706;1.08289373;-0.00044084;-0.00079516;0.00054108 
0.25818443;11.92202115;0.13155319;0.01601599;1.08291042;-0.00018621;-0.00083340;0.00127623 
0.23976731;12.16178846;0.13160624;0.01600177;1.08293426;-0.00044401;-0.00061727;0.00047715 
0.25498128;12.41676974;0.13161857;0.01600221;1.08295000;-0.00033322;-0.00071839;0.00062679 
0.25007105;12.66684079;0.13160978;0.01599384;1.08300650;-0.00035038;-0.00081881;0.00097706 
