deltaTime(s) 	 Time(s) 	 Roll(rad) 	 Pitch(rad) 	 Yaw(rad) 	 RollSpeed(rad/s) 	 PitchSpeed(rad/s) 	 YawSpeed(rad/s) 
0.33601809 	 16.10564852 	 0.00811435 	  0.00865133 	  2.68292332 	  0.00102602 	  -0.00046194 	  -0.00076627 
0.36642623 	 16.47207475 	 0.00805802 	  0.00867417 	  2.68294144 	  -0.00297578 	  0.00004145 	  0.00056917 
0.34167051 	 16.81374526 	 0.00805640 	  0.00871105 	  2.68288541 	  -0.00084714 	  -0.00164401 	  0.00365463 
0.32626867 	 17.14001393 	 0.00805959 	  0.00874128 	  2.68285942 	  -0.00161145 	  -0.00093192 	  0.00043665 
0.35202789 	 17.49204183 	 0.00805988 	  0.00874039 	  2.68279076 	  0.00054103 	  -0.00069302 	  0.00160531 
0.29621935 	 17.78826118 	 0.00803465 	  0.00878013 	  2.68275261 	  -0.00034580 	  -0.00027000 	  0.00145778 
0.35158038 	 18.13984156 	 0.00806704 	  0.00881497 	  2.68271208 	  -0.00060526 	  0.00030888 	  0.00106839 
0.33679485 	 18.47663641 	 0.00806340 	  0.00877940 	  2.68265891 	  -0.00046850 	  0.00010216 	  0.00085959 
0.47344947 	 18.95008588 	 0.00809264 	  0.00880582 	  2.68258977 	  0.00032651 	  -0.00198684 	  0.00132412 
0.53969765 	 19.48978353 	 0.00816369 	  0.00882697 	  2.68255782 	  0.00118139 	  0.00019994 	  0.00032710 
0.47870111 	 19.96848464 	 0.00818780 	  0.00887159 	  2.68250942 	  0.00029522 	  0.00018271 	  -0.00104401 
0.42856431 	 20.39704895 	 0.00818563 	  0.00886120 	  2.68251014 	  -0.00206382 	  -0.00135756 	  -0.00043248 
0.40229297 	 20.79934192 	 0.00822031 	  0.00886390 	  2.68244386 	  0.00023265 	  -0.00141818 	  0.00006944 
0.42245340 	 21.22179532 	 0.00820330 	  0.00883943 	  2.68243504 	  0.00002073 	  0.00083534 	  -0.00047639 
0.31573629 	 21.53753161 	 0.00817910 	  0.00885043 	  2.68247628 	  -0.00056991 	  -0.00068941 	  0.00153251 
0.02508068 	 21.56261230 	 0.00812189 	  0.00881201 	  2.68238473 	  -0.00019823 	  -0.00034557 	  0.00068145 
0.19831800 	 21.76093030 	 0.00816024 	  0.00881280 	  2.68231750 	  0.00071225 	  0.00026390 	  -0.00006038 
0.16248012 	 21.92341042 	 0.00817778 	  0.00884620 	  2.68234634 	  -0.00050064 	  -0.00078560 	  0.00102855 
