deltaTime(s);Time(s);Roll(rad);Pitch(rad);Yaw(rad);RollSpeed(rad/s);PitchSpeed(rad/s);YawSpeed(rad/s) 
0.17633295;0.17633295;-0.00388636;0.01156202;-0.08881382;-0.00022371;-0.00031731;-0.00069239 
0.26633954;0.44267249;-0.00380906;0.01159628;-0.08879078;0.00029227;0.00075160;-0.00048539 
0.23866749;0.68133998;-0.00382872;0.01162374;-0.08875091;-0.00000903;0.00000739;-0.00021287 
0.24522686;0.92656684;-0.00379064;0.01162129;-0.08864284;0.00018186;0.00090354;0.00179427 
0.25314045;1.17970729;-0.00383457;0.01167875;-0.08862592;-0.00050150;-0.00045613;-0.00118610 
0.24732542;1.42703271;-0.00383693;0.01168125;-0.08852766;0.00061812;0.00039553;0.00077990 
0.24931216;1.67634487;-0.00370346;0.01152192;-0.08850486;0.01517088;-0.01001258;0.00967382 
0.25037146;1.92671633;-0.00401610;0.01178281;-0.08850288;-0.00550846;0.00611982;0.00232037 
0.25443196;2.18114829;-0.00394186;0.01172278;-0.08842850;0.00319452;-0.00244315;0.00021135 
0.24564600;2.42679429;-0.00399412;0.01178346;-0.08838600;-0.00172935;0.00109203;-0.00099744 
0.25044703;2.67724133;-0.00399272;0.01177210;-0.08831403;0.00114117;-0.00061538;0.00036376 
0.24932599;2.92656732;-0.00404509;0.01178574;-0.08832558;-0.00087825;-0.00037964;-0.00047215 
0.24986935;3.17643666;-0.00399223;0.01179768;-0.08830535;0.00127181;-0.00040388;-0.00361097 
0.25018883;3.42662549;-0.00399285;0.01168990;-0.08824018;0.00110182;-0.00143446;0.00251622 
0.26258731;3.68921280;-0.00410199;0.01168702;-0.08827838;-0.00037086;0.00032573;-0.00009584 
0.23952222;3.92873502;-0.00406227;0.01166263;-0.08819644;0.00064515;0.00095960;0.00128371 
0.24758196;4.17631698;-0.00406496;0.01159109;-0.08812009;0.00005141;-0.00039347;-0.00021669 
0.25029254;4.42660952;-0.00409889;0.01157032;-0.08804353;0.00002298;-0.00073490;0.00089359 
0.24983788;4.67644739;-0.00406521;0.01152769;-0.08801056;-0.00049602;-0.00018124;0.00078160 
0.25493908;4.93138647;-0.00405583;0.01148878;-0.08799732;-0.00018404;0.00043416;0.00115464 
0.24453568;5.17592216;-0.00404277;0.01150208;-0.08799682;-0.00128516;-0.00021693;-0.00246583 
0.25502348;5.43094563;-0.00403063;0.01149942;-0.08792471;0.00001807;0.00179744;0.00169272 
0.24794316;5.67888880;-0.00402143;0.01145029;-0.08797775;-0.00015632;-0.00115814;-0.00157791 
0.24902177;5.92791057;-0.00398180;0.01141347;-0.08788590;0.00014545;-0.00103941;-0.00075152 
0.24841356;6.17632413;-0.00394573;0.01142522;-0.08777187;0.00024315;0.00001000;0.00079830 
0.24964666;6.42597079;-0.00394925;0.01143620;-0.08774077;0.00036955;0.00053777;-0.00035946 
