deltaTime(s)	Time(s)	Roll(rad)	Pitch(rad)	Yaw(rad)	RollSpeed(rad/s)	PitchSpeed(rad/s)	YawSpeed(rad/s)	Motor1(PWM)	Motor2(PWM)	Motor3(PWM)	Motor4(PWM)	
0.11163616 	0.11163616	-0.01004813	0.00543521	1.04332280	0.00007415	-0.00265084	-0.00062035	900	900	900	900
0.24894118 	0.36057734	-0.01006866	0.00547439	1.04337263	0.00082681	-0.00020537	0.00155140	900	900	900	900
0.25973368 	0.62031102	-0.01006018	0.00550040	1.04333472	0.00026591	0.00095583	0.00144189	900	900	900	900
0.26328850 	0.88359952	-0.01005041	0.00557628	1.04326725	0.00009712	-0.00056894	0.00108450	900	900	900	900
0.23878241 	1.12238193	-0.01003779	0.00562895	1.04320681	-0.00101030	-0.00111031	0.00127529	900	900	900	900
0.24549556 	1.36787748	-0.00999705	0.00562732	1.04316092	-0.00040423	-0.00086976	0.00023424	900	900	900	900
0.25404811 	1.62192559	-0.00999402	0.00567466	1.04310429	0.00048222	0.00072244	0.00148445	900	900	900	900
0.24402761 	1.86595321	-0.01002386	0.00568338	1.04304612	-0.00019198	-0.00059393	0.00105269	900	900	900	900
0.28409362 	2.15004683	-0.01002717	0.00566732	1.04301369	0.00034575	-0.00118062	0.00030479	900	900	900	900
0.27510428 	2.42515111	-0.01005303	0.00568117	1.04292321	-0.00104186	-0.00125717	-0.00202263	900	900	900	900
0.22248721 	2.64763832	-0.01005583	0.00566398	1.04296863	-0.00133914	-0.00137907	0.00175475	900	900	900	900
0.26002097 	2.90765929	-0.01001732	0.00570635	1.04289484	0.00193782	-0.00082889	0.00071213	900	900	900	900
0.26592779 	3.17358708	-0.01006777	0.00569264	1.04291213	-0.00098946	-0.00036156	0.00194902	900	900	900	900
0.23437285 	3.40795994	-0.01011946	0.00567191	1.04285228	0.00124058	-0.00050631	0.00067957	900	900	900	900
0.27885675 	3.68681669	-0.01011254	0.00567556	1.04284227	0.00058898	-0.00091349	0.00150805	900	900	900	900
0.23462868 	3.92144537	-0.01012860	0.00562521	1.04280603	0.00052588	-0.00254461	0.00155643	900	900	900	900
0.25162601 	4.17307138	-0.01011587	0.00562016	1.04289138	0.00032724	-0.00052514	0.00112734	900	900	900	900
0.24495387 	4.41802526	-0.01010768	0.00554747	1.04295683	-0.00003981	0.00121517	0.00168731	900	900	900	900
0.23975277 	4.65777802	-0.01011374	0.00553060	1.04297030	-0.00016542	-0.00051986	0.00093020	900	900	900	900
0.25481129 	4.91258931	-0.01011841	0.00548394	1.04295707	0.00017624	-0.00263101	-0.00019498	900	900	900	900
0.29646373 	5.20905304	-0.01011953	0.00547240	1.04304159	-0.00045339	-0.00176436	0.00075395	900	900	900	900
0.18906808 	5.39812112	-0.01008781	0.00539196	1.04305398	-0.00008222	-0.00035594	0.00086818	900	900	900	900
0.25450349 	5.65262461	-0.01013767	0.00533124	1.04299521	-0.00011101	-0.00017354	0.00012482	900	900	900	900
0.28533220 	5.93795681	-0.01018225	0.00527976	1.04304016	0.00027854	-0.00129833	0.00081958	900	900	900	900
0.26513481 	6.20309162	-0.01020282	0.00524976	1.04310000	0.00026884	-0.00138001	0.00102930	900	900	900	900
0.22966599 	6.43275762	-0.01015535	0.00523407	1.04312336	-0.00044961	-0.00044921	0.00110672	900	900	900	900
0.26634145 	6.69909906	-0.01019717	0.00520389	1.04318726	-0.00072446	-0.00083270	0.00090514	900	900	900	900
0.23965335 	6.93875241	-0.01023193	0.00516461	1.04321504	-0.00006504	-0.00110010	0.00062011	900	900	900	900
0.17903399 	7.11778641	-0.01022814	0.00513872	1.04324925	0.00033713	-0.00074749	0.00051840	900	900	900	900
0.24363399 	7.36142039	-0.01022646	0.00510927	1.04328644	0.00046625	-0.00252385	0.00006915	900	900	900	900
