deltaTime(s)	Time(s)	Roll(rad)	Pitch(rad)	Yaw(rad)	RollSpeed(rad/s)	PitchSpeed(rad/s)	YawSpeed(rad/s)	Motor1(PWM)	Motor2(PWM)	Motor3(PWM)	Motor4(PWM)	
0.11615944	0.11615944	0.00266360	0.00175497	2.50217724	-0.00317126	0.00299751	0.00091546	900	900	900	900
0.24403811	0.36019754	0.00278960	0.00179926	2.50213337	0.00030918	0.00205390	-0.00110171	900	900	900	900
0.25086093	0.61105847	0.00273877	0.00194758	2.50190544	0.00025173	0.00242111	-0.00250463	900	900	900	900
0.26125193	0.87231040	0.00272369	0.00187604	2.50166917	-0.00105938	-0.00177805	0.00009609	900	900	900	900
0.23303866	1.10534906	0.00282879	0.00192096	2.50155163	0.00028881	0.00194560	-0.00055343	900	900	900	900
0.25087953	1.35622859	0.00277986	0.00187318	2.50139093	0.00159915	-0.00026604	-0.00136602	900	900	900	900
0.26288438	1.61911297	0.00274138	0.00187161	2.50114417	-0.00019279	0.00099888	-0.00092802	900	900	900	900
0.24181581	1.86092877	0.00275021	0.00184664	2.50103283	-0.00072458	-0.00043518	0.00089484	900	900	900	900
0.26412749	2.12505627	0.00275899	0.00187290	2.50075865	0.00028939	0.00099953	-0.00085654	900	900	900	900
0.26066732	2.38572359	0.00283552	0.00189845	2.50058270	0.00087114	0.00063225	-0.00024173	900	900	900	900
0.24388003	2.62960362	0.00283103	0.00190796	2.50043535	0.00036067	-0.00025213	-0.00001040	900	900	900	900
0.23339438	2.86299801	0.00288668	0.00191565	2.50029922	0.00088304	0.00061586	-0.00020979	900	900	900	900
0.25605845	3.11905646	0.00286961	0.00193470	2.50009537	0.00038471	0.00003798	0.00042880	900	900	900	900
0.24571538	3.36477184	0.00287201	0.00191468	2.49984670	-0.00085328	-0.00070590	0.00033394	900	900	900	900
0.26307106	3.62784290	0.00279503	0.00187876	2.49963617	0.00034612	-0.00041346	0.00037617	900	900	900	900
0.23728251	3.86512542	0.00279197	0.00185150	2.49951148	-0.00033546	-0.00011287	-0.00003696	900	900	900	900
0.25582314	4.12094855	0.00286043	0.00185719	2.49932528	0.00044992	-0.00032167	-0.00033461	900	900	900	900
0.28605628	4.40700483	0.00290506	0.00181814	2.49914503	0.00001803	0.00094306	-0.00087855	900	900	900	900
0.27547383	4.68247867	0.00284841	0.00192250	2.49899197	0.00156254	0.00289360	-0.00011769	900	900	900	900
0.22997236	4.91245103	0.00279137	0.00192016	2.49882984	-0.00063004	-0.00210351	0.00206228	900	900	900	900
0.26861763	5.18106866	0.00273987	0.00186638	2.49863267	-0.00038448	-0.00269570	0.00048449	900	900	900	900
0.22469449	5.40576315	0.00273432	0.00187528	2.49843550	0.00028934	-0.00074936	-0.00010011	900	900	900	900
0.25948954	5.66525269	0.00276755	0.00199955	2.49828005	0.00062508	0.00280501	-0.00261368	900	900	900	900
0.30678821	5.97204089	0.00277041	0.00200317	2.49814415	0.00113890	0.00034561	-0.00272661	900	900	900	900
0.27016664	6.24220753	0.00275023	0.00202480	2.49805689	0.00070626	-0.00089641	0.00019460	900	900	900	900
0.12234282	6.36455035	0.00275097	0.00199681	2.49796963	-0.00079133	-0.00146635	0.00256419	900	900	900	900
0.25786304	6.62241340	0.00279418	0.00203669	2.49785924	-0.00045636	0.00014135	0.00087020	900	900	900	900
0.23768640	6.86009979	0.00283374	0.00199601	2.49774551	-0.00328844	-0.00026689	-0.00103181	900	900	900	900
0.24451447	7.10461426	0.00287996	0.00199834	2.49761581	0.00055675	0.00031206	0.00048518	900	900	900	900
0.27590990	7.38052416	0.00282181	0.00200945	2.49740410	-0.00075184	0.00019018	0.00078014	900	900	900	900
0.23855448	7.61907864	0.00275727	0.00196016	2.49722958	0.00097833	0.00055943	0.00093141	900	900	900	900
0.33582616	7.95490479	0.00272535	0.00196811	2.49708033	-0.00028571	0.00161451	-0.00105837	900	900	900	900
0.17450142	8.12940621	0.00266467	0.00186069	2.49690056	-0.00076050	-0.00170613	-0.00005695	900	900	900	900
0.25547671	8.38488293	0.00263257	0.00181476	2.49675608	0.00043881	-0.00117976	0.00035801	900	900	900	900
0.21959066	8.60447359	0.00266890	0.00179423	2.49656057	0.00063875	0.00037237	-0.00054093	900	900	900	900
0.26351953	8.86799312	0.00264967	0.00170813	2.49639940	-0.00165286	-0.00144402	0.00382561	900	900	900	900
0.24087930	9.10887241	0.00268763	0.00168333	2.49624825	0.00051257	-0.00029865	0.00255123	900	900	900	900
0.34911942	9.45799184	0.00266579	0.00164113	2.49614906	-0.00146849	-0.00134766	0.00237879	900	900	900	900
0.35921812	9.81720996	0.00266974	0.00164631	2.49599552	0.00016358	-0.00010843	0.00162225	900	900	900	900
0.30578017	10.12299013	0.00281627	0.00155817	2.49571657	0.00139918	-0.00150576	-0.00086058	900	900	900	900
0.27182031	10.39481044	0.00278143	0.00158090	2.49561000	0.00043668	-0.00092535	-0.00144887	900	900	900	900
0.16859198	10.56340241	0.00271054	0.00159161	2.49551392	0.00125322	0.00071104	-0.00243340	900	900	900	900
0.10715652	10.67055893	0.00267815	0.00170484	2.49539518	-0.00197948	0.00160182	0.00290077	900	900	900	900
0.21441126	10.88497019	0.00267782	0.00168778	2.49526095	-0.00146930	-0.00049893	0.00052026	900	900	900	900
0.22496486	11.10993505	0.00267004	0.00161545	2.49504948	0.00000934	-0.00085147	-0.00101955	900	900	900	900
0.25666142	11.36659646	0.00271180	0.00172109	2.49490309	-0.00012582	0.00027107	0.00029384	900	900	900	900
0.25267386	11.61927032	0.00269810	0.00177552	2.49484396	-0.00032132	-0.00125934	0.00050419	900	900	900	900
0.24512434	11.86439466	0.00269440	0.00184586	2.49477959	-0.00017014	-0.00038564	0.00032190	900	900	900	900
0.34083009	12.20522475	0.00263524	0.00184772	2.49467897	-0.00027527	-0.00051311	0.00091694	900	900	900	900
0.21450281	12.41972756	0.00265753	0.00186789	2.49451876	0.00044981	-0.00068201	0.00056029	900	900	900	900
0.25034666	12.67007422	0.00260433	0.00182501	2.49448538	-0.00072717	-0.00103964	0.00108556	900	900	900	900
0.26525378	12.93532801	0.00258991	0.00185322	2.49442816	-0.00033023	0.00009524	0.00008908	900	900	900	900
0.22951508	13.16484308	0.00256596	0.00185574	2.49430394	0.00040076	-0.00092914	-0.00006001	900	900	900	900
0.25984907	13.42469215	0.00255303	0.00184749	2.49421453	-0.00000888	-0.00037419	0.00113363	900	900	900	900
0.24076056	13.66545272	0.00254146	0.00187552	2.49406815	0.00037188	-0.00005369	-0.00066960	900	900	900	900
0.27520394	13.94065666	0.00256819	0.00187665	2.49393845	0.00085389	0.00007272	-0.00093910	900	900	900	900
0.23396468	14.17462134	0.00257782	0.00190831	2.49380302	-0.00069727	-0.00026545	-0.00040791	900	900	900	900
0.24969149	14.42431283	0.00268487	0.00191853	2.49364352	-0.00031206	-0.00055503	0.00035835	900	900	900	900
0.24044561	14.66475844	0.00271486	0.00191344	2.49358511	-0.00017457	-0.00065211	0.00049433	900	900	900	900
0.25971103	14.92446947	0.00271226	0.00194099	2.49344158	-0.00098193	0.00056106	-0.00088763	900	900	900	900
0.24526572	15.16973519	0.00272700	0.00197243	2.49330068	0.00032912	-0.00008033	0.00006021	900	900	900	900
0.24470043	15.41443563	0.00263508	0.00197648	2.49321461	0.00014165	-0.00021103	0.00069272	900	900	900	900
0.24521661	15.65965223	0.00263604	0.00195948	2.49317265	0.00038699	-0.00101757	0.00009858	900	900	900	900
0.28627849	15.94593072	0.00263770	0.00196866	2.49313331	-0.00010059	0.00088038	-0.00005119	900	900	900	900
0.29040360	16.23633432	0.00262074	0.00196112	2.49309134	0.00065179	0.00105382	-0.00036101	900	900	900	900
0.20936060	16.44569492	0.00256290	0.00204477	2.49299264	-0.00049733	0.00034222	-0.00000341	900	900	900	900
0.24055982	16.68625474	0.00257290	0.00202024	2.49288034	0.00002156	0.00063308	0.00025312	900	900	900	900
0.23405194	16.92030668	0.00260850	0.00203442	2.49282384	0.00020891	-0.00068237	0.00055675	900	900	900	900
0.24391198	17.16421866	0.00260391	0.00203957	2.49270582	-0.00009919	-0.00088277	0.00047890	900	900	900	900
0.26025367	17.42447233	0.00264409	0.00198951	2.49262047	-0.00027964	-0.00075342	0.00165093	900	900	900	900
0.25011587	17.67458820	0.00261955	0.00201615	2.49252605	-0.00023652	0.00014144	0.00031442	900	900	900	900
0.23454046	17.90912867	0.00258694	0.00204365	2.49246073	-0.00089767	-0.00036871	0.00029522	900	900	900	900
0.31654930	18.22567797	0.00261577	0.00203381	2.49231958	0.00118361	-0.00268835	-0.00072096	900	900	900	900
0.25016809	18.47584605	0.00259407	0.00205289	2.49222040	-0.00042261	0.00003863	0.00034547	900	900	900	900
0.22021794	18.69606400	0.00264092	0.00210211	2.49214387	0.00082732	0.00126245	-0.00164365	900	900	900	900
0.23499537	18.93105936	0.00264128	0.00205645	2.49211574	0.00199665	0.00094480	-0.00276930	900	900	900	900
0.26555562	19.19661498	0.00260245	0.00206123	2.49203658	-0.00120565	-0.00045653	-0.00043769	900	900	900	900
0.26530218	19.46191716	0.00259248	0.00201142	2.49194336	-0.00024310	0.00067834	0.00085338	900	900	900	900
0.25014901	19.71206617	0.00257216	0.00201099	2.49191880	-0.00044703	-0.00056065	0.00039184	900	900	900	900
0.25340080	19.96546698	0.00255137	0.00200211	2.49190521	-0.00038185	-0.00126744	0.00051866	900	900	900	900
0.23230457	20.19777155	0.00256661	0.00203750	2.49179792	-0.00043695	0.00036415	0.00095852	900	900	900	900
0.17509985	20.37287140	0.00256593	0.00205247	2.49170637	-0.00004609	0.00020730	0.00076872	900	900	900	900
0.31834579	20.69121718	0.00251724	0.00202575	2.49167347	-0.00053292	-0.00115703	0.00049303	900	900	900	900
0.19794869	20.88916588	0.00250874	0.00205796	2.49163628	0.00072778	-0.00068896	-0.00061299	900	900	900	900
0.27514863	21.16431451	0.00249967	0.00206114	2.49151182	0.00058507	0.00028957	-0.00047377	900	900	900	900
0.22025704	21.38457155	0.00251175	0.00206382	2.49142933	-0.00028947	-0.00027061	0.00109015	900	900	900	900
0.22495627	21.60952783	0.00251160	0.00208524	2.49132133	-0.00024639	-0.00062723	0.00097757	900	900	900	900
0.25997877	21.86950660	0.00256196	0.00215974	2.49120522	-0.00086407	0.00038008	-0.00024381	900	900	900	900
0.29256344	22.16207004	0.00253771	0.00222981	2.49104929	-0.00056058	0.00031755	-0.00017623	900	900	900	900
0.25567722	22.41774726	0.00250661	0.00220248	2.49091816	-0.00100430	-0.00100637	-0.00002171	900	900	900	900
0.26559734	22.68334460	0.00249599	0.00218221	2.49083996	0.00004225	-0.00053110	0.00022375	900	900	900	900
0.25498462	22.93832922	0.00248873	0.00216305	2.49073672	-0.00073591	-0.00055307	-0.00069404	900	900	900	900
0.21116996	23.14949918	0.00256109	0.00213444	2.49056792	0.00032726	0.00094319	-0.00177543	900	900	900	900
0.21622586	23.36572504	0.00258863	0.00211636	2.49048114	0.00083354	0.00008838	-0.00108922	900	900	900	900
0.24330163	23.60902667	0.00261073	0.00211264	2.49044061	0.00064883	-0.00110257	-0.00045493	900	900	900	900
0.24871469	23.85774136	0.00261423	0.00213499	2.49033046	-0.00091040	0.00051318	-0.00005529	900	900	900	900
0.32244754	24.18018889	0.00259993	0.00212094	2.49020624	-0.00058632	-0.00008698	-0.00044914	900	900	900	900
0.21355748	24.39374638	0.00264858	0.00207636	2.49012256	0.00073326	-0.00088472	-0.00005075	900	900	900	900
0.23497200	24.62871838	0.00264668	0.00212122	2.49004030	-0.00039097	-0.00046220	0.00010844	900	900	900	900
0.25049424	24.87921262	0.00259608	0.00209564	2.48993731	-0.00108249	-0.00055275	0.00034272	900	900	900	900
0.23434353	25.11355615	0.00256128	0.00213332	2.48995399	-0.00086846	0.00025437	0.00087146	900	900	900	900
0.25910234	25.37265849	0.00258630	0.00212969	2.48990011	0.00095468	0.00014001	-0.00158124	900	900	900	900
0.26463366	25.63729215	0.00261908	0.00211707	2.48992825	-0.00023041	-0.00005109	-0.00116743	900	900	900	900
0.33663988	25.97393203	0.00263088	0.00217644	2.48983955	0.00094646	0.00057277	-0.00091476	900	900	900	900
0.17005515	26.14398718	0.00267326	0.00217937	2.48974514	-0.00025059	0.00012690	-0.00006899	900	900	900	900
0.26538801	26.40937519	0.00270047	0.00217908	2.48969340	-0.00023767	-0.00055667	0.00012951	900	900	900	900
0.23572278	26.64509797	0.00268372	0.00213456	2.48957348	-0.00077538	-0.00051825	0.00111772	900	900	900	900
0.34389949	26.98899746	0.00265738	0.00214924	2.48953819	-0.00079172	-0.00070478	0.00078408	900	900	900	900
0.24691939	27.23591685	0.00266867	0.00215600	2.48938775	-0.00044669	-0.00027783	-0.00029914	900	900	900	900
0.32214212	27.55805898	0.00269518	0.00209707	2.48929048	-0.00007075	-0.00065576	-0.00007974	900	900	900	900
0.26119089	27.81924987	0.00264423	0.00210336	2.48920870	0.00033636	0.00055841	-0.00090701	900	900	900	900
0.09667611	27.91592598	0.00266026	0.00206655	2.48911309	-0.00042471	-0.00039559	-0.00025009	900	900	900	900
0.20217633	28.11810231	0.00261749	0.00208800	2.48900104	0.00069451	-0.00042941	-0.00033257	900	900	900	900
0.27629733	28.39439964	0.00258596	0.00217236	2.48898745	0.00002511	-0.00019738	0.00032017	900	900	900	900
0.21909857	28.61349821	0.00256053	0.00209869	2.48895717	-0.00061922	-0.00082406	0.00033776	900	900	900	900
0.35804725	28.97154546	0.00254755	0.00211405	2.48894358	0.00043561	0.00010420	0.00041492	900	900	900	900
0.38995886	29.36150432	0.00255957	0.00210220	2.48883414	0.00027675	0.00018248	0.00025617	900	900	900	900
0.36983204	29.73133636	0.00253492	0.00213447	2.48874807	-0.00112461	-0.00004400	0.00038460	900	900	900	900
0.40123630	30.13257265	0.00246360	0.00216884	2.48866463	-0.00075223	-0.00011569	-0.00070515	900	900	900	900
0.33470225	30.46727490	0.00244670	0.00220918	2.48857594	0.00025880	-0.00032038	-0.00062177	900	900	900	900
0.47625446	30.94352937	0.00244010	0.00228258	2.48845625	-0.00015141	0.00039396	-0.00134333	900	900	900	900
0.53212261	31.47565198	0.00242702	0.00225784	2.48835921	0.00027130	-0.00136899	0.00008952	900	900	900	900
0.24505258	31.72070456	0.00241300	0.00223290	2.48833585	-0.00010271	-0.00085274	0.00145482	900	900	900	900
0.22939157	31.95009613	0.00246192	0.00220640	2.48823524	0.00035756	-0.00037765	0.00037854	900	900	900	900
0.21426177	32.16435790	0.00247802	0.00221904	2.48828578	-0.00025242	-0.00035040	0.00028639	900	900	900	900
0.22464871	32.38900661	0.00247940	0.00225377	2.48819017	0.00014892	0.00015363	-0.00007248	900	900	900	900
0.21461511	32.60362172	0.00246701	0.00216597	2.48812008	-0.00055585	-0.00302656	0.00044808	900	900	900	900
0.21431375	32.81793547	0.00248183	0.00225994	2.48807430	-0.00027407	0.00103265	-0.00050067	900	900	900	900
0.24010849	33.05804396	0.00248025	0.00228224	2.48804140	0.00020988	0.00090919	-0.00133894	900	900	900	900
0.20923996	33.26728392	0.00254793	0.00226447	2.48796558	-0.00019885	0.00022840	-0.00117813	900	900	900	900
0.21971250	33.48699641	0.00260296	0.00228345	2.48789263	0.00005253	-0.00012192	0.00047438	900	900	900	900
