deltaTime(s);Time(s);Roll(rad);Pitch(rad);Yaw(rad);RollSpeed(rad/s);PitchSpeed(rad/s);YawSpeed(rad/s) 
0.07340431;0.07340431;0.01077810;-0.01003376;1.48325765;0.00030085;-0.00054739;0.00245306 
0.24671721;0.32012153;0.01075383;-0.01005389;1.48328495;0.00003904;-0.00048467;0.00373326 
0.25040650;0.57052803;0.01067402;-0.01010186;1.48313797;-0.00065260;-0.00030357;0.00366444 
0.25017905;0.82070708;0.01062602;-0.01015624;1.48298299;0.00009336;-0.00159870;0.00442702 
0.25387979;1.07458687;0.01064844;-0.01019481;1.48282647;-0.00078066;-0.00036310;0.00349659 
0.26255870;1.33714557;0.01067449;-0.01018462;1.48269713;0.00049795;-0.00091528;0.00333897 
0.23640299;1.57354856;0.01066711;-0.01022602;1.48249686;-0.00073696;-0.00048357;0.00274294 
0.24687195;1.82042050;0.01062879;-0.01030970;1.48231423;-0.00000936;-0.00066684;0.00251937 
0.25471187;2.07513237;0.01058885;-0.01041139;1.48216045;-0.00119550;-0.00166132;0.00386280 
0.24485970;2.31999207;0.01050601;-0.01044553;1.48201656;-0.00026892;-0.00057113;0.00411478 
0.25347137;2.57346344;0.01051310;-0.01050451;1.48182237;-0.00031346;-0.00091186;0.00282257 
0.24645638;2.81991982;0.01042769;-0.01050241;1.48160803;-0.00024439;0.00017810;0.00448424 
0.25135255;3.07127237;0.01042086;-0.01054288;1.48141539;0.00076293;-0.00112687;0.00363268 
0.25371981;3.32499218;0.01036098;-0.01052751;1.48126113;-0.00017395;-0.00039811;0.00337983 
0.24857664;3.57356882;0.01035294;-0.01052330;1.48112142;-0.00026929;-0.00099838;0.00343056 
0.25137067;3.82493949;0.01028784;-0.01058460;1.48090744;-0.00062319;-0.00022941;0.00290089 
0.24491501;4.06985450;0.01023701;-0.01059257;1.48079419;0.00050659;-0.00076053;0.00359963 
0.25038147;4.32023597;0.01022259;-0.01065945;1.48064077;-0.00044014;-0.00187805;0.00385173 
0.25501013;4.57524610;0.01023600;-0.01067200;1.48044729;0.00011316;-0.00138895;0.00239212 
0.24495459;4.82020068;0.01019411;-0.01064484;1.48032820;-0.00014147;-0.00064744;0.00515642 
0.25163198;5.07183266;0.01028972;-0.01066338;1.48019350;0.00057691;-0.00243188;0.00496483 
0.24798560;5.31981826;0.01019450;-0.01061915;1.48003173;0.00018921;-0.00025594;0.00184822 
0.24988508;5.56970334;0.01009292;-0.01060692;1.47982776;0.00158028;-0.00291339;-0.00619411 
0.25044155;5.82014489;0.01005547;-0.01060640;1.47979546;-0.00051956;0.00176526;0.00673413 
0.24960876;6.06975365;0.01011063;-0.01060273;1.47958887;0.00129040;0.00059045;0.00126215 
0.25172830;6.32148194;0.01008327;-0.01056028;1.47943580;0.00012292;0.00073724;0.00209309 
0.24861336;6.57009530;0.01006336;-0.01061910;1.47929752;-0.00012772;-0.00198310;0.00372011 
0.25236988;6.82246518;0.00997147;-0.01053624;1.47914720;0.00066685;-0.00004203;0.00255487 
0.25724673;7.07971191;0.00988415;-0.01047868;1.47899997;-0.00041661;0.00057318;0.00248358 
0.23995638;7.31966829;0.00984170;-0.01046381;1.47888625;-0.00016795;-0.00094115;0.00330459 
0.25504279;7.57471108;0.00978195;-0.01042460;1.47875261;-0.00076395;-0.00007038;0.00351579 
0.24705005;7.82176113;0.00993662;-0.01042660;1.47855914;-0.00092482;-0.00054915;0.00264142 
0.25302076;8.07478189;0.00994113;-0.01040559;1.47838008;-0.00043958;-0.00139505;0.00257218 
0.24738240;8.32216430;0.00990694;-0.01037336;1.47828436;-0.00020079;-0.00022975;0.00355467 
0.33202219;8.65418649;0.00986497;-0.01030354;1.47815931;-0.00071388;0.00078955;0.00261690 
0.17709064;8.83127713;0.00981726;-0.01023544;1.47800159;-0.00021465;-0.00014648;0.00070022 
0.25855136;9.08982849;0.00974627;-0.01019854;1.47793078;0.00065843;-0.00124285;0.00351508 
0.23993087;9.32975936;0.00988789;-0.01028095;1.47773087;0.00051464;-0.00204929;0.00208071 
0.24343514;9.57319450;0.00985108;-0.01027831;1.47770846;-0.00204344;-0.00015877;0.00933156 
0.26312876;9.83632326;0.00988160;-0.01035494;1.47737324;0.00000162;-0.00120528;0.00125763 
0.24320388;10.07952714;0.00980945;-0.01027126;1.47727489;-0.00038395;0.00059288;0.00122412 
0.23990679;10.31943393;0.00972475;-0.01024278;1.47713757;-0.00079947;-0.00030639;0.00366455 
0.24990582;10.56933975;0.00987616;-0.01032445;1.47694528;0.00265295;-0.00280533;-0.00155475 
0.25451350;10.82385325;0.00974257;-0.01014584;1.47693992;-0.00192472;0.00218395;0.00843948 
0.24626446;11.07011771;0.01008069;-0.01034905;1.47634006;-0.00007096;-0.00433933;0.00514478 
0.24989581;11.32001352;0.01004349;-0.01042082;1.47676659;0.00011014;-0.00385974;0.00548306 
0.25278091;11.57279444;0.01001846;-0.01035549;1.47613692;-0.00013986;-0.00191814;-0.00495705 
0.25164294;11.82443738;0.01001436;-0.01041090;1.47645938;-0.00050099;-0.00165305;0.00652948 
0.24998903;12.07442641;0.01011793;-0.01039070;1.47616839;-0.00014762;0.00007485;0.00240830 
0.24478698;12.31921339;0.01012381;-0.01042120;1.47612071;-0.00014140;-0.00048084;0.00281211 
0.25000262;12.56921601;0.01015372;-0.01042834;1.47594666;-0.00040247;-0.00071371;0.00201433 
0.25504160;12.82425761;0.01014658;-0.01039609;1.47583663;0.00062553;-0.00025694;-0.00117546 
0.24817061;13.07242823;0.01015547;-0.01043845;1.47585511;-0.00025514;-0.00158282;0.00254256 
0.24698758;13.31941581;0.01017543;-0.01044623;1.47570384;-0.00081021;-0.00049115;0.00447147 
0.24975681;13.56917262;0.01020595;-0.01045773;1.47554910;-0.00059079;-0.00000438;0.00236106 
0.25486803;13.82404065;0.01020228;-0.01047401;1.47551572;-0.00023316;-0.00060899;0.00309269 
0.24509549;14.06913614;0.01023515;-0.01051304;1.47542310;-0.00025663;-0.00057771;0.00235576 
0.25339961;14.32253575;0.01024362;-0.01054349;1.47534060;-0.00007127;-0.00054499;0.00229083 
0.24963093;14.57216668;0.01025900;-0.01061327;1.47528434;0.00013664;-0.00151181;0.00278350 
0.24909806;14.82126474;0.01026463;-0.01067802;1.47519767;-0.00111045;-0.00045306;0.00256160 
0.24776673;15.06903148;0.01022001;-0.01071894;1.47512889;-0.00011071;-0.00119525;0.00332214 
0.25018835;15.31921983;0.01027071;-0.01075207;1.47508478;0.00080832;-0.00031040;0.00226292 
0.25335789;15.57257771;0.01023829;-0.01080726;1.47504115;0.00003313;-0.00048246;0.00298619 
