deltaTime(s)	Time(s)	Roll(rad)	Pitch(rad)	Yaw(rad)	RollSpeed(rad/s)	PitchSpeed(rad/s)	YawSpeed(rad/s)	Motor1(PWM)	Motor2(PWM)	Motor3(PWM)	Motor4(PWM)	
0.08203793 	13.67631340	-0.01257264	0.02549979	1.74067223	0.00042392	0.00105713	-0.00037954	900	900	900	900
0.24749732 	13.92381072	-0.01256660	0.02545899	1.74071276	-0.00041296	0.00048919	0.00028178	900	900	900	900
0.37312245 	14.29693317	-0.01254388	0.02551987	1.74055707	0.00042124	0.00107336	-0.00105990	900	900	900	900
0.14873624 	14.44566941	-0.01257329	0.02552370	1.74051809	0.00054126	0.00064536	-0.00055930	900	900	900	900
0.37156796 	14.81723738	-0.01249682	0.02552494	1.74036634	-0.00024946	-0.00129669	-0.00021412	900	900	900	900
0.16333032 	14.98056769	-0.01251103	0.02545786	1.74025536	-0.00033468	-0.00014679	-0.00098149	900	900	900	900
0.02895117 	15.00951886	-0.01252767	0.02544931	1.74011779	-0.00112681	-0.00136799	0.00177191	900	900	900	900
0.00556231 	15.01508117	-0.01254058	0.02552805	1.73997104	0.00002770	0.00153597	-0.00165493	900	900	900	900
0.00535440 	15.02043557	-0.01252696	0.02546075	1.73987424	-0.00083408	-0.00133709	0.00140718	900	900	900	900
0.14717436 	15.16760993	-0.01250491	0.02548527	1.73969734	0.00068413	0.00035690	-0.00048399	900	900	900	900
0.18780470 	15.35541463	-0.01247160	0.02544721	1.73958576	-0.00024524	-0.00060096	0.00004959	900	900	900	900
0.39665818 	15.75207281	-0.01246373	0.02544822	1.73948336	0.00042284	-0.00028906	-0.00037889	900	900	900	900
0.31889653 	16.07096934	-0.01246941	0.02544596	1.73936677	-0.00080230	-0.00033299	-0.00081776	900	900	900	900
0.18179989 	16.25276923	-0.01243437	0.02545955	1.73924279	-0.00137541	-0.00031297	0.00024012	900	900	900	900
0.19641423 	16.44918346	-0.01243083	0.02546196	1.73914766	0.00023879	0.00057215	-0.00075952	900	900	900	900
0.16373563 	16.61291909	-0.01241071	0.02551434	1.73898125	-0.00101920	0.00001205	-0.00051981	900	900	900	900
0.31733847 	16.93025756	-0.01245977	0.02548345	1.73897767	-0.00076790	-0.00099607	0.00168806	900	900	900	900
0.09789205 	17.02814960	-0.01241268	0.02552165	1.73879683	0.00051552	-0.00004481	-0.00035443	900	900	900	900
0.35967922 	17.38782883	-0.01237513	0.02550770	1.73869264	-0.00043776	0.00035713	0.00076282	900	900	900	900
0.38110662 	17.76893544	-0.01234141	0.02552762	1.73867679	0.00008157	0.00063913	0.00108936	900	900	900	900
0.50017786 	18.26911330	-0.01236828	0.02554036	1.73872268	-0.00083015	-0.00091101	-0.00032604	900	900	900	900
0.31976366 	18.58887696	-0.01238417	0.02552455	1.73875713	0.00046650	0.00080454	-0.00003745	900	900	900	900
0.04139376 	18.63027072	-0.01242195	0.02544894	1.73882961	-0.00064515	0.00121860	0.00030007	900	900	900	900
0.04371381 	18.67398453	-0.01237135	0.02540753	1.73885632	-0.00118959	-0.00208797	-0.00105997	900	900	900	900
0.08942509 	18.76340961	-0.01232914	0.02542817	1.73894250	-0.00019457	0.00042554	0.00137123	900	900	900	900
0.31032825 	19.07373786	-0.01239242	0.02532420	1.73904884	-0.00133272	-0.00022138	0.00041841	900	900	900	900
0.25602746 	19.32976532	-0.01233394	0.02532062	1.73911393	-0.00003350	-0.00070662	0.00010367	900	900	900	900
0.19335246 	19.52311778	-0.01230722	0.02535951	1.73915076	-0.00018620	0.00069828	-0.00118928	900	900	900	900
0.27301526 	19.79613304	-0.01232033	0.02535575	1.73922670	0.00026856	0.00053274	0.00032442	900	900	900	900
0.23323083 	20.02936387	-0.01233052	0.02534789	1.73928761	0.00019077	-0.00073582	-0.00000284	900	900	900	900
0.24938369 	20.27874756	-0.01229691	0.02539503	1.73936760	-0.00026392	0.00016331	-0.00001682	900	900	900	900
0.28085899 	20.55960655	-0.01231993	0.02545389	1.73942697	0.00117763	0.00294917	-0.00070197	900	900	900	900
0.27726245 	20.83686900	-0.01235406	0.02547057	1.73938680	0.00131220	-0.00017705	-0.00160582	900	900	900	900
0.24250960 	21.07937860	-0.01227310	0.02551965	1.73946953	0.00065939	0.00061623	-0.00091398	900	900	900	900
0.18880701 	21.26818562	-0.01227399	0.02552009	1.73952675	-0.00069494	0.00051425	0.00041882	900	900	900	900
0.24988341 	21.51806903	-0.01230393	0.02547447	1.73960018	-0.00037941	0.00038097	0.00023450	900	900	900	900
0.36207104 	21.88014007	-0.01229661	0.02545040	1.73971057	-0.00046012	-0.00147349	-0.00045524	900	900	900	900
0.14226580 	22.02240586	-0.01221058	0.02543591	1.73978782	0.00147928	0.00092567	-0.00083990	900	900	900	900
0.25727057 	22.27967644	-0.01218432	0.02549726	1.73970199	0.00164884	0.00258163	-0.00347483	900	900	900	900
0.23563838 	22.51531482	-0.01216199	0.02549822	1.73972940	0.00100296	0.00284305	-0.00360581	900	900	900	900
0.25155020 	22.76686502	-0.01216426	0.02535986	1.73988700	0.00091777	0.00373678	-0.00413543	900	900	900	900
0.26716423 	23.03402925	-0.01214888	0.02533999	1.73996532	-0.00095411	-0.00001108	-0.00110459	900	900	900	900
0.23517442 	23.26920366	-0.01211738	0.02527247	1.74008965	0.00005030	-0.00183530	0.00028187	900	900	900	900
0.25036025 	23.51956391	-0.01211609	0.02531607	1.74004531	-0.00025593	-0.00025395	0.00052605	900	900	900	900
0.24698615 	23.76655006	-0.01215147	0.02525289	1.74011159	-0.00003370	0.00008389	0.00023354	900	900	900	900
0.25262761 	24.01917768	-0.01210208	0.02525690	1.73992920	-0.00022062	-0.00163356	0.00076960	900	900	900	900
0.24725270 	24.26643038	-0.01202433	0.02525153	1.73966491	0.00143738	0.00118580	-0.00077530	900	900	900	900
0.25299621 	24.51942658	-0.01202160	0.02522332	1.73945189	-0.00026852	-0.00019961	-0.00044969	900	900	900	900
0.24729443 	24.76672101	-0.01196390	0.02516264	1.73942494	0.00024681	-0.00054449	-0.00062649	900	900	900	900
0.25010538 	25.01682639	-0.01198473	0.02512540	1.73945749	-0.00014511	-0.00052675	-0.00015729	900	900	900	900
0.25202394 	25.26885033	-0.01196530	0.02510628	1.73952782	-0.00018264	-0.00005152	-0.00052999	900	900	900	900
0.30083251 	25.56968284	-0.01197547	0.02507801	1.73954797	0.00018420	-0.00107694	0.00031461	900	900	900	900
0.32510662 	25.89478946	-0.01198631	0.02504121	1.73955822	0.00000624	-0.00032034	-0.00057287	900	900	900	900
0.25247598 	26.14726543	-0.01199688	0.02505496	1.73959410	0.00004710	0.00091853	-0.00027764	900	900	900	900
0.12406349 	26.27132893	-0.01201195	0.02501781	1.73959994	0.00000627	0.00002620	-0.00084851	900	900	900	900
0.27055478 	26.54188371	-0.01204686	0.02501311	1.73960674	0.00005082	-0.00034660	-0.00066149	900	900	900	900
0.32311821 	26.86500192	-0.01211026	0.02496276	1.73960876	0.00002242	-0.00025631	-0.00009610	900	900	900	900
0.21768403 	27.08268595	-0.01211882	0.02493318	1.73960555	0.00021102	0.00069947	-0.00144249	900	900	900	900
0.28671360 	27.36939955	-0.01213972	0.02502437	1.73964775	0.00076152	0.00203311	-0.00206449	900	900	900	900
0.14924049 	27.51864004	-0.01218934	0.02494886	1.73968959	-0.00022207	-0.00088116	-0.00048866	900	900	900	900
0.24674773 	27.76538777	-0.01224163	0.02494759	1.73974216	-0.00104308	-0.00191254	0.00165382	900	900	900	900
0.24984908 	28.01523685	-0.01221449	0.02496451	1.73966634	0.00002273	0.00122113	-0.00097485	900	900	900	900
