deltaTime(s);Time(s);Roll(rad);Pitch(rad);Yaw(rad);RollSpeed(rad/s);PitchSpeed(rad/s);YawSpeed(rad/s) 
0.14336801;0.14336801;0.00017251;0.00035167;0.28737026;-0.00204840;0.00102841;-0.00301157 
0.17189550;0.31526351;0.00015185;0.00034490;0.28731897;0.00003313;-0.00081255;-0.00692904 
0.25412369;0.56938720;0.00021517;0.00037670;0.28761145;0.00069333;-0.00076259;0.00593369 
0.24635863;0.81574583;0.00026912;0.00054135;0.28755307;-0.00168979;0.00155833;-0.00264378 
0.25160623;1.06735206;0.00029968;0.00056558;0.28788862;0.00115732;0.00107588;0.00183977 
0.24992228;1.31727433;0.00029695;0.00056548;0.28757471;-0.00193024;-0.00071451;-0.00633517 
0.24835992;1.56563425;0.00028680;0.00068561;0.28789908;-0.00024518;-0.00132541;0.00729376 
0.25359225;1.81922650;0.00025488;0.00070838;0.28784862;-0.00062669;0.00045327;0.00110358 
0.24645019;2.06567669;0.00023773;0.00068886;0.28774250;-0.00011071;-0.00159917;-0.00448023 
0.25511456;2.32079124;0.00024846;0.00077396;0.28806144;0.00135937;0.00019172;0.01039335 
0.35118461;2.67197585;0.00021069;0.00081967;0.28777736;-0.00006633;-0.00014205;-0.00431294 
0.34573984;3.01771569;0.00022578;0.00085714;0.28802118;0.00013270;0.00049281;0.00218356 
0.25461364;3.27232933;0.00024843;0.00082916;0.28803834;-0.00046585;-0.00061419;-0.00311956 
0.29490590;3.56723523;0.00016721;0.00082407;0.28824088;-0.00004765;-0.00045416;0.00131854 
0.30551457;3.87274981;0.00010059;0.00088558;0.28815565;-0.00027978;-0.00006985;-0.00601430 
0.29493022;4.16768003;0.00010285;0.00081452;0.28851175;0.00065946;-0.00193144;0.00627340 
0.27974486;4.44742489;0.00003036;0.00072385;0.28812546;-0.00429803;0.00489976;-0.00457411 
0.27476335;4.72218823;0.00004166;0.00051015;0.28866139;-0.00095509;-0.00574317;0.00128066 
0.44902968;5.17121792;0.00003848;0.00040716;0.28834450;-0.00168403;-0.00176124;-0.00206114 
0.23445415;5.40567207;0.00009738;0.00036677;0.28870016;-0.00155852;-0.00198549;0.00080920 
0.28027320;5.68594527;0.00011057;0.00034680;0.28863016;-0.00055958;-0.00055676;-0.00018920 
0.30666494;5.99261022;0.00004881;-0.00025057;0.28866601;-0.01296447;-0.00804894;0.01195692 
0.28562617;6.27823639;0.00027897;0.00013644;0.28917500;0.00554700;0.01044608;0.02114858 
0.29006672;6.56830311;0.00021116;-0.00009796;0.28881124;-0.00111664;-0.00205549;-0.01413731 
0.33092403;6.89922714;0.00021389;-0.00003863;0.28879264;0.00033198;0.00184364;-0.00075036 
0.23967791;7.13890505;0.00028298;-0.00003798;0.28910848;0.00028228;0.00293407;0.00914457 
0.28576207;7.42466712;0.00030054;-0.00011584;0.28878218;0.00049687;0.00160431;-0.00821545 
0.23948574;7.66415286;0.00030841;-0.00016952;0.28920156;0.00036942;0.00189522;0.01397254 
0.26463866;7.92879152;0.00030097;-0.00006944;0.28905413;0.00030799;-0.00040344;0.00015668 
0.31523728;8.24402881;0.00029407;-0.00013212;0.28904557;-0.00126543;-0.00243472;-0.00663797 
