deltaTime(s);Time(s);Roll(rad);Pitch(rad);Yaw(rad);RollSpeed(rad/s);PitchSpeed(rad/s);YawSpeed(rad/s) 
0.23894525;0.23894525;-0.00339556;0.01224697;-0.09254066;-0.00064606;-0.00351927;-0.00012212 
0.30242491;0.54137015;-0.00341213;0.01215378;-0.09254065;0.00086090;-0.00056922;0.00056108 
0.22701097;0.76838112;-0.00344912;0.01211227;-0.09250713;0.00076969;0.00163038;-0.00054553 
0.21858263;0.98696375;-0.00344867;0.01208693;-0.09241039;0.00056026;-0.00111331;-0.00213122 
0.24950528;1.23646903;-0.00343465;0.01209023;-0.09222902;0.00021404;0.00052441;0.00091659 
0.24942970;1.48589873;-0.00342732;0.01210691;-0.09216675;0.00026433;0.00035125;-0.00105312 
0.25804591;1.74394464;-0.00338494;0.01213918;-0.09210531;-0.00024953;0.00018006;-0.00038727 
0.23971057;1.98365521;-0.00345967;0.01216949;-0.09198048;-0.00038395;0.00019051;0.00098785 
0.27101660;2.25467181;-0.00347625;0.01209729;-0.09197153;-0.00029331;-0.00171098;-0.00400957 
0.23424816;2.48891997;-0.00353797;0.01219235;-0.09178611;-0.00123936;-0.00066240;-0.00439280 
0.26011777;2.74903774;-0.00343483;0.01204950;-0.09169414;0.00459769;-0.00525067;0.00049506 
0.23866963;2.98770738;-0.00335136;0.01185431;-0.09166766;0.00016760;0.00094074;0.00151156 
0.26162100;3.24932837;-0.00333854;0.01180036;-0.09165747;-0.00029152;-0.00228846;-0.00363111 
0.24993634;3.49926472;-0.00335769;0.01181335;-0.09162711;-0.00064891;-0.00181105;-0.00568240 
0.23481059;3.73407531;-0.00335619;0.01184413;-0.09144700;-0.00023387;0.00228565;0.00541263 
0.26289582;3.99697113;-0.00337905;0.01184041;-0.09154622;-0.00083206;-0.00088210;-0.00379387 
0.24170971;4.23868084;-0.00348476;0.01212256;-0.09149127;-0.00007734;0.00191428;-0.00038144 
0.26025772;4.49893856;-0.00348002;0.01212437;-0.09148966;0.00012245;0.00028668;-0.00069309 
0.25168872;4.75062728;-0.00351268;0.01207566;-0.09149288;-0.00016005;-0.00091545;-0.00136675 
0.23788118;4.98850846;-0.00353930;0.01208449;-0.09137668;-0.00080034;0.00061683;0.00053894 
0.24637818;5.23488665;-0.00357543;0.01206344;-0.09125753;0.00012326;0.00031948;0.00034537 
0.26702929;5.50191593;-0.00357868;0.01202586;-0.09117395;-0.00031985;0.00002716;-0.00066618 
0.23204923;5.73396516;-0.00354615;0.01202825;-0.09117562;0.00143644;0.00034769;-0.00021960 
